"Country or Area","Year","Area","Sex","Language","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Urban","Male","Luo","Census - de jure - complete tabulation","Final figure, complete","2017","54","8"
"Australia","2016","Urban","Male","Luritja","Census - de jure - complete tabulation","Final figure, complete","2017","65","8"
"Australia","2016","Urban","Male","Madarrpa","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Madi","Census - de jure - complete tabulation","Final figure, complete","2017","471","8"
"Australia","2016","Urban","Male","Malak Malak","Census - de jure - complete tabulation","Final figure, complete","2017","10","8"
"Australia","2016","Urban","Male","Malngin","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Mandaean (Mandaic)","Census - de jure - complete tabulation","Final figure, complete","2017","83","8"
"Australia","2016","Urban","Male","Mandinka","Census - de jure - complete tabulation","Final figure, complete","2017","279","8"
"Australia","2016","Urban","Male","Mangala","Census - de jure - complete tabulation","Final figure, complete","2017","6","8"
"Australia","2016","Urban","Male","Mann","Census - de jure - complete tabulation","Final figure, complete","2017","34","8"
"Australia","2016","Urban","Male","Manyjalpingu","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Manyjilyjarra","Census - de jure - complete tabulation","Final figure, complete","2017","8","8"
"Australia","2016","Urban","Male","Maori (Cook Island)","Census - de jure - complete tabulation","Final figure, complete","2017","2467","8"
"Australia","2016","Urban","Male","Maori (New Zealand)","Census - de jure - complete tabulation","Final figure, complete","2017","5344","8"
"Australia","2016","Urban","Male","Maringarr","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Marra","Census - de jure - complete tabulation","Final figure, complete","2017","6","8"
"Australia","2016","Urban","Male","Marrangu","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Marrithiyel","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Martu Wangka","Census - de jure - complete tabulation","Final figure, complete","2017","43","8"
"Australia","2016","Urban","Male","Maung","Census - de jure - complete tabulation","Final figure, complete","2017","27","8"
"Australia","2016","Urban","Male","Mayali","Census - de jure - complete tabulation","Final figure, complete","2017","19","8"
"Australia","2016","Urban","Male","Meriam Mir","Census - de jure - complete tabulation","Final figure, complete","2017","40","8"
"Australia","2016","Urban","Male","Middle Eastern Semitic Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","24","8"
"Australia","2016","Urban","Male","Middle Eastern Semitic Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","15","8"
"Australia","2016","Urban","Male","Miriwoong","Census - de jure - complete tabulation","Final figure, complete","2017","36","8"
"Australia","2016","Urban","Male","Mon","Census - de jure - complete tabulation","Final figure, complete","2017","146","8"
"Australia","2016","Urban","Male","Mon-Khmer, nec","Census - de jure - complete tabulation","Final figure, complete","2017","273","8"
"Australia","2016","Urban","Male","Moro (Nuba Moro)","Census - de jure - complete tabulation","Final figure, complete","2017","88","8"
"Australia","2016","Urban","Male","Motu (HiriMotu)","Census - de jure - complete tabulation","Final figure, complete","2017","233","8"
"Australia","2016","Urban","Male","Mudburra","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Murrinh Patha","Census - de jure - complete tabulation","Final figure, complete","2017","720","8"
"Australia","2016","Urban","Male","Muruwari","Census - de jure - complete tabulation","Final figure, complete","2017","4","8"
"Australia","2016","Urban","Male","Na-kara","Census - de jure - complete tabulation","Final figure, complete","2017","29","8"
"Australia","2016","Urban","Male","Narungga","Census - de jure - complete tabulation","Final figure, complete","2017","11","8"
"Australia","2016","Urban","Male","Ndjebbana (Gunavidji)","Census - de jure - complete tabulation","Final figure, complete","2017","83","8"
"Australia","2016","Urban","Male","Ngaanyatjarra","Census - de jure - complete tabulation","Final figure, complete","2017","12","8"
"Australia","2016","Urban","Male","Ngaliwurru","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Ngan'gikurunggurr","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Ngardi","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Ngarinyin","Census - de jure - complete tabulation","Final figure, complete","2017","15","8"
"Australia","2016","Urban","Male","Ngarinyman","Census - de jure - complete tabulation","Final figure, complete","2017","14","8"
"Australia","2016","Urban","Male","Ngarluma","Census - de jure - complete tabulation","Final figure, complete","2017","9","8"
"Australia","2016","Urban","Male","Ngarrindjeri","Census - de jure - complete tabulation","Final figure, complete","2017","82","8"
"Australia","2016","Urban","Male","Nhangu, nec","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Niue","Census - de jure - complete tabulation","Final figure, complete","2017","391","8"
"Australia","2016","Urban","Male","Non-verbal, so described","Census - de jure - complete tabulation","Final figure, complete","2017","17330","8"
"Australia","2016","Urban","Male","Norf'k-Pitcairn","Census - de jure - complete tabulation","Final figure, complete","2017","143","8"
"Australia","2016","Urban","Male","Nuer","Census - de jure - complete tabulation","Final figure, complete","2017","1069","8"
"Australia","2016","Urban","Male","Nunggubuyu","Census - de jure - complete tabulation","Final figure, complete","2017","11","8"
"Australia","2016","Urban","Male","Nyamal","Census - de jure - complete tabulation","Final figure, complete","2017","4","8"
"Australia","2016","Urban","Male","Nyangumarta","Census - de jure - complete tabulation","Final figure, complete","2017","12","8"
"Australia","2016","Urban","Male","Nyanja (Chichewa)","Census - de jure - complete tabulation","Final figure, complete","2017","197","8"
"Australia","2016","Urban","Male","Nyikina","Census - de jure - complete tabulation","Final figure, complete","2017","9","8"
"Australia","2016","Urban","Male","Nyungar","Census - de jure - complete tabulation","Final figure, complete","2017","198","8"
"Australia","2016","Urban","Male","Oceanian Pidgins and Creoles, nec","Census - de jure - complete tabulation","Final figure, complete","2017","19","8"
"Australia","2016","Urban","Male","Oceanian Pidgins and Creoles, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","9","8"
"Australia","2016","Urban","Male","Other Australian Indigenous Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","141","8"
"Australia","2016","Urban","Male","Other Australian Indigenous Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","33","8"
"Australia","2016","Urban","Male","Other Eastern Asian Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","57","8"
"Australia","2016","Urban","Male","Other Eastern Asian Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","11","8"
"Australia","2016","Urban","Male","Other Eastern European Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Other Eastern European Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","6","8"
"Australia","2016","Urban","Male","Other Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Other Southern European Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","42","8"
"Australia","2016","Urban","Male","Other Southwest and Central Asian Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Paakantyi","Census - de jure - complete tabulation","Final figure, complete","2017","15","8"
"Australia","2016","Urban","Male","Pacific Austronesian Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","110","8"
"Australia","2016","Urban","Male","Pacific Austronesian Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","34","8"
"Australia","2016","Urban","Male","Palyku/Nyiyaparli","Census - de jure - complete tabulation","Final figure, complete","2017","4","8"
"Australia","2016","Urban","Male","Pampangan","Census - de jure - complete tabulation","Final figure, complete","2017","99","8"
"Australia","2016","Urban","Male","Papua New Guinea Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","39","8"
"Australia","2016","Urban","Male","Papua New Guinea Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","192","8"
"Australia","2016","Urban","Male","Persian (excluding Dari)","Census - de jure - complete tabulation","Final figure, complete","2017","30593","8"
"Australia","2016","Urban","Male","Pidgin, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","853","8"
"Australia","2016","Urban","Male","Pintupi","Census - de jure - complete tabulation","Final figure, complete","2017","5","8"
"Australia","2016","Urban","Male","Pitjantjatjara","Census - de jure - complete tabulation","Final figure, complete","2017","193","8"
"Australia","2016","Urban","Male","Portuguese Creole, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","11","8"
"Australia","2016","Urban","Male","Rembarrnga","Census - de jure - complete tabulation","Final figure, complete","2017","9","8"
"Australia","2016","Urban","Male","Rirratjingu","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Ritharrngu","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Rohingya","Census - de jure - complete tabulation","Final figure, complete","2017","1643","8"
"Australia","2016","Urban","Male","Scandinavian, nec","Census - de jure - complete tabulation","Final figure, complete","2017","14","8"
"Australia","2016","Urban","Male","Scandinavian, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Serbo-Croatian/Yugoslavian, so described","Census - de jure - complete tabulation","Final figure, complete","2017","2748","8"
"Australia","2016","Urban","Male","Seychelles Creole","Census - de jure - complete tabulation","Final figure, complete","2017","221","8"
"Australia","2016","Urban","Male","Shilluk","Census - de jure - complete tabulation","Final figure, complete","2017","107","8"
"Australia","2016","Urban","Male","Sign Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","27","8"
"Australia","2016","Urban","Male","Sign Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","569","8"
"Australia","2016","Urban","Male","Slovene","Census - de jure - complete tabulation","Final figure, complete","2017","1791","8"
"Australia","2016","Urban","Male","Solomon Islands Pijin","Census - de jure - complete tabulation","Final figure, complete","2017","114","8"
"Australia","2016","Urban","Male","South Slavic, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Southeast Asian Austronesian Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","107","8"
"Australia","2016","Urban","Male","Southeast Asian Austronesian Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","139","8"
"Australia","2016","Urban","Male","Southeast Asian Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","5","8"
"Australia","2016","Urban","Male","Southern Asian Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","3838","8"
"Australia","2016","Urban","Male","Southern European Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Southwest and Central Asian Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","7","8"
"Australia","2016","Urban","Male","Spanish Creole, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","15","8"
"Australia","2016","Urban","Male","Swiss, so described","Census - de jure - complete tabulation","Final figure, complete","2017","237","8"
"Australia","2016","Urban","Male","Tai, nec","Census - de jure - complete tabulation","Final figure, complete","2017","19","8"
"Australia","2016","Urban","Male","Tai, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Themne","Census - de jure - complete tabulation","Final figure, complete","2017","37","8"
"Australia","2016","Urban","Male","Timorese","Census - de jure - complete tabulation","Final figure, complete","2017","247","8"
"Australia","2016","Urban","Male","Tiwi","Census - de jure - complete tabulation","Final figure, complete","2017","677","8"
"Australia","2016","Urban","Male","Tjupany","Census - de jure - complete tabulation","Final figure, complete","2017","8","8"
"Australia","2016","Urban","Male","Tok Pisin (Neomelanesian)","Census - de jure - complete tabulation","Final figure, complete","2017","1625","8"
"Australia","2016","Urban","Male","Torres Strait Island Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","135","8"
"Australia","2016","Urban","Male","Turkic, nec","Census - de jure - complete tabulation","Final figure, complete","2017","26","8"
"Australia","2016","Urban","Male","Turkic, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Waanyi","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Wagilak","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Wagiman","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Wajarri","Census - de jure - complete tabulation","Final figure, complete","2017","38","8"
"Australia","2016","Urban","Male","Walmajarri","Census - de jure - complete tabulation","Final figure, complete","2017","54","8"
"Australia","2016","Urban","Male","Wambaya","Census - de jure - complete tabulation","Final figure, complete","2017","13","8"
"Australia","2016","Urban","Male","Wangkajunga","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Wangkangurru","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Wangkatha","Census - de jure - complete tabulation","Final figure, complete","2017","57","8"
"Australia","2016","Urban","Male","Wangurri","Census - de jure - complete tabulation","Final figure, complete","2017","10","8"
"Australia","2016","Urban","Male","Wardaman","Census - de jure - complete tabulation","Final figure, complete","2017","6","8"
"Australia","2016","Urban","Male","Warlmanpa","Census - de jure - complete tabulation","Final figure, complete","2017","11","8"
"Australia","2016","Urban","Male","Warlpiri","Census - de jure - complete tabulation","Final figure, complete","2017","212","8"
"Australia","2016","Urban","Male","Warnman","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Warramiri","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Warumungu","Census - de jure - complete tabulation","Final figure, complete","2017","112","8"
"Australia","2016","Urban","Male","Wergaia","Census - de jure - complete tabulation","Final figure, complete","2017","6","8"
"Australia","2016","Urban","Male","Western Arrarnta","Census - de jure - complete tabulation","Final figure, complete","2017","38","8"
"Australia","2016","Urban","Male","Wik Mungkan","Census - de jure - complete tabulation","Final figure, complete","2017","112","8"
"Australia","2016","Urban","Male","Wik Ngathan","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Wiradjuri","Census - de jure - complete tabulation","Final figure, complete","2017","180","8"
"Australia","2016","Urban","Male","Worrorra","Census - de jure - complete tabulation","Final figure, complete","2017","3","8"
"Australia","2016","Urban","Male","Wubulkarra","Census - de jure - complete tabulation","Final figure, complete","2017","4","8"
"Australia","2016","Urban","Male","Wunambal","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Wurlaki","Census - de jure - complete tabulation","Final figure, complete","2017","4","8"
"Australia","2016","Urban","Male","Yankunytjatjara","Census - de jure - complete tabulation","Final figure, complete","2017","17","8"
"Australia","2016","Urban","Male","Yanyuwa","Census - de jure - complete tabulation","Final figure, complete","2017","6","8"
"Australia","2016","Urban","Male","Yawuru","Census - de jure - complete tabulation","Final figure, complete","2017","35","8"
"Australia","2016","Urban","Male","Yidiny","Census - de jure - complete tabulation","Final figure, complete","2017","13","8"
"Australia","2016","Urban","Male","Yindjibarndi","Census - de jure - complete tabulation","Final figure, complete","2017","33","8"
"Australia","2016","Urban","Male","Yinhawangka","Census - de jure - complete tabulation","Final figure, complete","2017","4","8"
"Australia","2016","Urban","Male","Yolngu Matha, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","138","8"
"Australia","2016","Urban","Male","Yorta Yorta","Census - de jure - complete tabulation","Final figure, complete","2017","27","8"
"Australia","2016","Urban","Male","Yugambeh","Census - de jure - complete tabulation","Final figure, complete","2017","7","8"
"Australia","2016","Urban","Male","Yulparija","Census - de jure - complete tabulation","Final figure, complete","2017","0","8"
"Australia","2016","Urban","Male","Yumplatok (Torres Strait Creole)","Census - de jure - complete tabulation","Final figure, complete","2017","1283","8"
"Australia","2016","Urban","Male","Zomi","Census - de jure - complete tabulation","Final figure, complete","2017","560","8"
"Australia","2016","Urban","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2017","10674324","8"
"Australia","2016","Urban","Female","Aboriginal","Census - de jure - complete tabulation","Final figure, complete","2017","326","8"
"Australia","2016","Urban","Female","Albanian","Census - de jure - complete tabulation","Final figure, complete","2017","4457","8"
"Australia","2016","Urban","Female","Arabic","Census - de jure - complete tabulation","Final figure, complete","2017","156027","8"
"Australia","2016","Urban","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2017","5407","8"
"Australia","2016","Urban","Female","Assamese","Census - de jure - complete tabulation","Final figure, complete","2017","193","8"
"Australia","2016","Urban","Female","Assyrian","Census - de jure - complete tabulation","Final figure, complete","2017","14312","8"
"Australia","2016","Urban","Female","Afrikaans","Census - de jure - complete tabulation","Final figure, complete","2017","20534","8"
"Australia","2016","Urban","Female","Balinese","Census - de jure - complete tabulation","Final figure, complete","2017","78","8"
"Australia","2016","Urban","Female","Belorussian","Census - de jure - complete tabulation","Final figure, complete","2017","117","8"
"Australia","2016","Urban","Female","Bemba","Census - de jure - complete tabulation","Final figure, complete","2017","429","8"
"Australia","2016","Urban","Female","Bislama","Census - de jure - complete tabulation","Final figure, complete","2017","110","8"
"Australia","2016","Urban","Female","Bengali","Census - de jure - complete tabulation","Final figure, complete","2017","25258","8"
"Australia","2016","Urban","Female","Bikol","Census - de jure - complete tabulation","Final figure, complete","2017","63","8"
"Australia","2016","Urban","Female","Bosnian","Census - de jure - complete tabulation","Final figure, complete","2017","8051","8"
"Australia","2016","Urban","Female","Bulgarian","Census - de jure - complete tabulation","Final figure, complete","2017","1397","8"
"Australia","2016","Urban","Female","Burmese","Census - de jure - complete tabulation","Final figure, complete","2017","8347","8"
"Australia","2016","Urban","Female","Cantonese","Census - de jure - complete tabulation","Final figure, complete","2017","148045","8"
"Australia","2016","Urban","Female","Cebuano","Census - de jure - complete tabulation","Final figure, complete","2017","1704","8"
"Australia","2016","Urban","Female","Tibetan","Census - de jure - complete tabulation","Final figure, complete","2017","707","8"
"Australia","2016","Urban","Female","Croatian","Census - de jure - complete tabulation","Final figure, complete","2017","28740","8"
"Australia","2016","Urban","Female","Czech","Census - de jure - complete tabulation","Final figure, complete","2017","4099","8"
"Australia","2016","Urban","Female","Danish","Census - de jure - complete tabulation","Final figure, complete","2017","2771","8"
"Australia","2016","Urban","Female","Dutch","Census - de jure - complete tabulation","Final figure, complete","2017","16576","8"
"Australia","2016","Urban","Female","English","Census - de jure - complete tabulation","Final figure, complete","2017","7588162","8"
"Australia","2016","Urban","Female","Estonian","Census - de jure - complete tabulation","Final figure, complete","2017","963","8"
"Australia","2016","Urban","Female","Fijian","Census - de jure - complete tabulation","Final figure, complete","2017","3915","8"
"Australia","2016","Urban","Female","Finnish","Census - de jure - complete tabulation","Final figure, complete","2017","3175","8"
"Australia","2016","Urban","Female","French","Census - de jure - complete tabulation","Final figure, complete","2017","35393","8"
"Australia","2016","Urban","Female","Georgian","Census - de jure - complete tabulation","Final figure, complete","2017","92","8"
"Australia","2016","Urban","Female","German","Census - de jure - complete tabulation","Final figure, complete","2017","38641","8"
"Australia","2016","Urban","Female","Gilbertese","Census - de jure - complete tabulation","Final figure, complete","2017","227","8"
"Australia","2016","Urban","Female","Greek","Census - de jure - complete tabulation","Final figure, complete","2017","120971","8"
"Australia","2016","Urban","Female","Gujarati","Census - de jure - complete tabulation","Final figure, complete","2017","25527","8"
"Australia","2016","Urban","Female","Hakka","Census - de jure - complete tabulation","Final figure, complete","2017","4603","8"
"Australia","2016","Urban","Female","Hebrew","Census - de jure - complete tabulation","Final figure, complete","2017","4729","8"
"Australia","2016","Urban","Female","Hindi","Census - de jure - complete tabulation","Final figure, complete","2017","77075","8"
"Australia","2016","Urban","Female","Hungarian","Census - de jure - complete tabulation","Final figure, complete","2017","10600","8"
"Australia","2016","Urban","Female","Hausa","Census - de jure - complete tabulation","Final figure, complete","2017","84","8"
"Australia","2016","Urban","Female","Iban","Census - de jure - complete tabulation","Final figure, complete","2017","31","8"
"Australia","2016","Urban","Female","Icelandic","Census - de jure - complete tabulation","Final figure, complete","2017","140","8"
"Australia","2016","Urban","Female","Indonesian","Census - de jure - complete tabulation","Final figure, complete","2017","36422","8"
"Australia","2016","Urban","Female","Italian","Census - de jure - complete tabulation","Final figure, complete","2017","136197","8"
"Australia","2016","Urban","Female","Japanese","Census - de jure - complete tabulation","Final figure, complete","2017","31954","8"
"Australia","2016","Urban","Female","Javanese","Census - de jure - complete tabulation","Final figure, complete","2017","36","8"
"Australia","2016","Urban","Female","Kannada","Census - de jure - complete tabulation","Final figure, complete","2017","4666","8"
"Australia","2016","Urban","Female","Khmer","Census - de jure - complete tabulation","Final figure, complete","2017","18718","8"
"Australia","2016","Urban","Female","Konkani","Census - de jure - complete tabulation","Final figure, complete","2017","1229","8"
"Australia","2016","Urban","Female","Korean","Census - de jure - complete tabulation","Final figure, complete","2017","56248","8"
"Australia","2016","Urban","Female","Latvian","Census - de jure - complete tabulation","Final figure, complete","2017","1691","8"
"Australia","2016","Urban","Female","Lingala","Census - de jure - complete tabulation","Final figure, complete","2017","161","8"
"Australia","2016","Urban","Female","Lithuanian","Census - de jure - complete tabulation","Final figure, complete","2017","1178","8"
"Australia","2016","Urban","Female","Macedonian","Census - de jure - complete tabulation","Final figure, complete","2017","33051","8"
"Australia","2016","Urban","Female","Malay","Census - de jure - complete tabulation","Final figure, complete","2017","9378","8"
"Australia","2016","Urban","Female","Malayalam","Census - de jure - complete tabulation","Final figure, complete","2017","25976","8"
"Australia","2016","Urban","Female","Maltese","Census - de jure - complete tabulation","Final figure, complete","2017","15554","8"
"Australia","2016","Urban","Female","Mandarin","Census - de jure - complete tabulation","Final figure, complete","2017","321885","8"
"Australia","2016","Urban","Female","Marathi","Census - de jure - complete tabulation","Final figure, complete","2017","6295","8"
"Australia","2016","Urban","Female","Mongolian","Census - de jure - complete tabulation","Final figure, complete","2017","1154","8"
"Australia","2016","Urban","Female","Ndebele","Census - de jure - complete tabulation","Final figure, complete","2017","756","8"
"Australia","2016","Urban","Female","Nepali","Census - de jure - complete tabulation","Final figure, complete","2017","28555","8"
"Australia","2016","Urban","Female","Norwegian","Census - de jure - complete tabulation","Final figure, complete","2017","1541","8"
"Australia","2016","Urban","Female","Not stated","Census - de jure - complete tabulation","Final figure, complete","2017","633341","8"
"Australia","2016","Urban","Female","Oriya","Census - de jure - complete tabulation","Final figure, complete","2017","365","8"
"Australia","2016","Urban","Female","Polish","Census - de jure - complete tabulation","Final figure, complete","2017","26326","8"
"Australia","2016","Urban","Female","Pashto","Census - de jure - complete tabulation","Final figure, complete","2017","3598","8"
"Australia","2016","Urban","Female","Portuguese","Census - de jure - complete tabulation","Final figure, complete","2017","24891","8"
"Australia","2016","Urban","Female","Punjabi","Census - de jure - complete tabulation","Final figure, complete","2017","57882","8"
"Australia","2016","Urban","Female","Romanian","Census - de jure - complete tabulation","Final figure, complete","2017","6586","8"
"Australia","2016","Urban","Female","Romany","Census - de jure - complete tabulation","Final figure, complete","2017","83","8"
"Australia","2016","Urban","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2017","28196","8"
"Australia","2016","Urban","Female","Samoan","Census - de jure - complete tabulation","Final figure, complete","2017","22823","8"
"Australia","2016","Urban","Female","Serbian","Census - de jure - complete tabulation","Final figure, complete","2017","27073","8"
"Australia","2016","Urban","Female","Shona","Census - de jure - complete tabulation","Final figure, complete","2017","5698","8"
"Australia","2016","Urban","Female","Sindhi","Census - de jure - complete tabulation","Final figure, complete","2017","656","8"
"Australia","2016","Urban","Female","Sinhalese","Census - de jure - complete tabulation","Final figure, complete","2017","31757","8"
"Australia","2016","Urban","Female","Slovak","Census - de jure - complete tabulation","Final figure, complete","2017","2834","8"
"Australia","2016","Urban","Female","Somali","Census - de jure - complete tabulation","Final figure, complete","2017","7337","8"
"Australia","2016","Urban","Female","Spanish","Census - de jure - complete tabulation","Final figure, complete","2017","72199","8"
"Australia","2016","Urban","Female","Swahili","Census - de jure - complete tabulation","Final figure, complete","2017","5940","8"
"Australia","2016","Urban","Female","Swedish","Census - de jure - complete tabulation","Final figure, complete","2017","4771","8"
"Australia","2016","Urban","Female","Tagalog","Census - de jure - complete tabulation","Final figure, complete","2017","63873","8"
"Australia","2016","Urban","Female","Tamil","Census - de jure - complete tabulation","Final figure, complete","2017","33992","8"
"Australia","2016","Urban","Female","Tatar","Census - de jure - complete tabulation","Final figure, complete","2017","57","8"
"Australia","2016","Urban","Female","Telugu","Census - de jure - complete tabulation","Final figure, complete","2017","15128","8"
"Australia","2016","Urban","Female","Thai","Census - de jure - complete tabulation","Final figure, complete","2017","35424","8"
"Australia","2016","Urban","Female","Tokelauan","Census - de jure - complete tabulation","Final figure, complete","2017","461","8"
"Australia","2016","Urban","Female","Tigre","Census - de jure - complete tabulation","Final figure, complete","2017","76","8"
"Australia","2016","Urban","Female","Tongan","Census - de jure - complete tabulation","Final figure, complete","2017","8790","8"
"Australia","2016","Urban","Female","Tswana","Census - de jure - complete tabulation","Final figure, complete","2017","248","8"
"Australia","2016","Urban","Female","Turkish","Census - de jure - complete tabulation","Final figure, complete","2017","28634","8"
"Australia","2016","Urban","Female","Turkmen","Census - de jure - complete tabulation","Final figure, complete","2017","160","8"
"Australia","2016","Urban","Female","Tulu","Census - de jure - complete tabulation","Final figure, complete","2017","292","8"
"Australia","2016","Urban","Female","Uygur","Census - de jure - complete tabulation","Final figure, complete","2017","524","8"
"Australia","2016","Urban","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2017","4351","8"
"Australia","2016","Urban","Female","Urdu","Census - de jure - complete tabulation","Final figure, complete","2017","29502","8"
"Australia","2016","Urban","Female","Uzbek","Census - de jure - complete tabulation","Final figure, complete","2017","241","8"
"Australia","2016","Urban","Female","Vietnamese","Census - de jure - complete tabulation","Final figure, complete","2017","146350","8"
"Australia","2016","Urban","Female","Welsh","Census - de jure - complete tabulation","Final figure, complete","2017","757","8"
"Australia","2016","Urban","Female","Xhosa","Census - de jure - complete tabulation","Final figure, complete","2017","89","8"
"Australia","2016","Urban","Female","Yapese","Census - de jure - complete tabulation","Final figure, complete","2017","11","8"
"Australia","2016","Urban","Female","Yiddish","Census - de jure - complete tabulation","Final figure, complete","2017","727","8"
"Australia","2016","Urban","Female","Yoruba","Census - de jure - complete tabulation","Final figure, complete","2017","1102","8"
"Australia","2016","Urban","Female","Zulu","Census - de jure - complete tabulation","Final figure, complete","2017","319","8"
"Australia","2016","Urban","Female","Ewe","Census - de jure - complete tabulation","Final figure, complete","2017","272","8"
"Australia","2016","Urban","Female","Ga","Census - de jure - complete tabulation","Final figure, complete","2017","98","8"
"Australia","2016","Urban","Female","Tuvaluan","Census - de jure - complete tabulation","Final figure, complete","2017","129","8"
"Australia","2016","Urban","Female","Lao","Census - de jure - complete tabulation","Final figure, complete","2017","5132","8"
"Australia","2016","Urban","Female","Tetum","Census - de jure - complete tabulation","Final figure, complete","2017","561","8"
"Australia","2016","Urban","Female","Inadequately described","Census - de jure - complete tabulation","Final figure, complete","2017","4888","8"
"Australia","2016","Urban","Female","Irish","Census - de jure - complete tabulation","Final figure, complete","2017","819","8"
"Australia","2016","Urban","Female","Other Southern Asian Languages","Census - de jure - complete tabulation","Final figure, complete","2017","1182","8"
"Australia","2016","Urban","Female","Other Southeast Asian Languages","Census - de jure - complete tabulation","Final figure, complete","2017","38","8"
"Australia","2016","Urban","Female","Eastern Asian Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","17","8"
"Australia","2016","Urban","Female","American Languages","Census - de jure - complete tabulation","Final figure, complete","2017","37","8"
"Australia","2016","Urban","Female","Invented Languages","Census - de jure - complete tabulation","Final figure, complete","2017","44","8"
"Australia","2016","Urban","Female","Basque","Census - de jure - complete tabulation","Final figure, complete","2017","33","8"
