,NIVEAU_GÉO,GÉO,QUESTION,LANGUE,CHIFFRE_TOTAL
10353,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Ukrainien,0
10354,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues slaves, n.i.a.",0
10356,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Gaélique écossais,25
10357,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues celtiques, n.i.a.",0
10359,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Frison,0
10361,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Allemand,265
10362,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Allemand pennsylvanien,0
10363,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Allemand suisse,0
10364,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Yiddish,0
10366,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Afrikaans,0
10367,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Néerlandais,0
10368,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Bas-allemand, n.d.a.",0
10369,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Bas-saxon,0
10370,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Bas-allemand mennonite,50
10371,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Vlaams (flamand),0
10373,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Danois,0
10374,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Islandais,0
10375,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Norvégien,0
10376,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Suédois,0
10377,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues germaniques, n.i.a.",0
10378,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Grec,10
10381,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Bengali,0
10382,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Gujarati,0
10383,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Hindi,0
10384,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Kacchi,0
10385,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Marathi,0
10386,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Népalais,35
10387,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Pendjabi (panjabi),40
10388,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Sindhi,0
10389,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Singhalais,10
10390,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Ourdou,0
10391,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues indo-aryennes, n.i.a.",0
10393,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Kurde,0
10394,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Pachto,0
10396,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Dari,0
10397,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Persan iranien,0
10398,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Persan (farsi), n.d.a.",0
10399,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues iraniennes, n.i.a.",0
10400,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues indo-iraniennes, n.i.a.",0
10402,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Catalan,0
10403,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Italien,0
10404,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Portugais,45
10405,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Roumain,0
10406,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Espagnol,120
10407,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues italiques (romanes), n.i.a.",0
10408,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues indo-européennes, n.i.a.",0
10409,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Japonais,10
10410,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Coréen,75
10411,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Mongol,0
10413,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Akan (twi),0
10414,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Edo,0
10415,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Fulah (peul, pular, pulaar, fulfulde)",0
10416,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Ga,0
10417,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Ganda,0
10418,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Igbo,0
10419,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Kinyarwanda (rwanda),0
10420,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Lingala,0
10421,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Rundi (kiroundi),0
10422,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Shona,0
10423,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Swahili,25
10424,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Wolof,0
10425,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Yoruba,0
10426,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues nigéro-congolaises, n.i.a.",0
10428,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Dinka,0
10429,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues nilo-sahariennes, n.i.a.",0
10431,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Langue des signes américaine,55
10432,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Langue des signes québécoise,0
10436,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Hakka,0
10437,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Mandarin,440
10438,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Min dong,0
10439,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Min nan (chaochow, teochow, fou-kien, taïwanais)",0
10440,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Wu (shanghaïen),0
10441,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Yue (cantonais),90
10442,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Chinois, n.d.a.",20
10443,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues chinoises, n.i.a.",0
10445,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Birman,0
10447,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Karen s’gaw,0
10448,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues karéniques, n.i.a.",0
10449,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Tibétain,0
10450,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues tibéto-birmanes, n.i.a.",0
10451,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues sino-tibétaines, n.i.a.",0
10453,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Lao,0
10454,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Thaï,0
10455,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues taï-kadaï, n.i.a.",0
10457,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Azerbaïdjanais,0
10458,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Turc,15
10459,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Ouïghour,0
10460,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Ouzbek,0
10461,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Langues turques, n.i.a.",0
10463,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Estonien,0
10464,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Finnois,0
10465,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Hongrois,0
10466,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Autres langues, n.i.a.",0
10468,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Français et anglais,1650
10469,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Anglais et langue(s) non officielle(s),1030
10470,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Français et langue(s) non officielle(s),0
10471,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,"Français, anglais et langue(s) non officielle(s)",0
10472,Province,Nouvelle-Écosse,Langue utilisée le plus souvent au travail,Langues non officielles multiples,15
10919,Province,Nouveau-Brunswick,Langue maternelle,Anglais,487010
10920,Province,Nouveau-Brunswick,Langue maternelle,Français,225560
10924,Province,Nouveau-Brunswick,Langue maternelle,Pied-noir,0
10926,Province,Nouveau-Brunswick,Langue maternelle,Atikamekw,0
10928,Province,Nouveau-Brunswick,Langue maternelle,Ililimowin (cri de Moose),0
10929,Province,Nouveau-Brunswick,Langue maternelle,Inu Ayimun (cri du Sud-Est),0
10930,Province,Nouveau-Brunswick,Langue maternelle,Iyiyiw-Ayimiwin (cri du Nord-Est),0
10931,Province,Nouveau-Brunswick,Langue maternelle,Nehinawewin (cri des marais),0
10932,Province,Nouveau-Brunswick,Langue maternelle,Nehiyawewin (cri des plaines),0
10933,Province,Nouveau-Brunswick,Langue maternelle,Nihithawiwin (cri des bois),0
10934,Province,Nouveau-Brunswick,Langue maternelle,"Cri, n.d.a.",0
10935,Province,Nouveau-Brunswick,Langue maternelle,Innu (montagnais),0
10936,Province,Nouveau-Brunswick,Langue maternelle,Naskapi,5
10938,Province,Nouveau-Brunswick,Langue maternelle,Mi'kmaq,1435
10939,Province,Nouveau-Brunswick,Langue maternelle,Wolastoqewi (malécite),230
10941,Province,Nouveau-Brunswick,Langue maternelle,Anicinabemowin (algonquin),0
10942,Province,Nouveau-Brunswick,Langue maternelle,Oji-cri,0
10944,Province,Nouveau-Brunswick,Langue maternelle,Anishinaabemowin (chippewa),0
10945,Province,Nouveau-Brunswick,Langue maternelle,Daawaamwin (odawa),0
10946,Province,Nouveau-Brunswick,Langue maternelle,Saulteaux (ojibwé occidental),0
10947,Province,Nouveau-Brunswick,Langue maternelle,"Ojibwé, n.d.a.",5
10948,Province,Nouveau-Brunswick,Langue maternelle,"Langues algonquiennes, n.i.a.",0
10951,Province,Nouveau-Brunswick,Langue maternelle,Dakelh (porteur),0
10952,Province,Nouveau-Brunswick,Langue maternelle,Dane-zaa (castor),0
10953,Province,Nouveau-Brunswick,Langue maternelle,"Déné, n.d.a.",0
10954,Province,Nouveau-Brunswick,Langue maternelle,Gwich'in,0
10956,Province,Nouveau-Brunswick,Langue maternelle,Deh Gah Ghotie Zhatie (esclave du Sud),0
10957,Province,Nouveau-Brunswick,Langue maternelle,Satuotine Yati (esclave du Nord),0
10958,Province,Nouveau-Brunswick,Langue maternelle,"Esclave, n.d.a.",0
10960,Province,Nouveau-Brunswick,Langue maternelle,Kaska (nahani),0
10961,Province,Nouveau-Brunswick,Langue maternelle,Tahltan,0
10962,Province,Nouveau-Brunswick,Langue maternelle,Tlicho (flanc-de-chien),0
10963,Province,Nouveau-Brunswick,Langue maternelle,Tse'khene (sekani),0
10964,Province,Nouveau-Brunswick,Langue maternelle,Tsilhqot'in (chilcotin),0
10965,Province,Nouveau-Brunswick,Langue maternelle,Tsuu T'ina (sarsi),0
10967,Province,Nouveau-Brunswick,Langue maternelle,Tutchone du Nord,0
10968,Province,Nouveau-Brunswick,Langue maternelle,Tutchone du Sud,0
10969,Province,Nouveau-Brunswick,Langue maternelle,"Tutchone, n.d.a.",0
10970,Province,Nouveau-Brunswick,Langue maternelle,Wetsuwet'en-babine,0
10971,Province,Nouveau-Brunswick,Langue maternelle,Tlingit,0
10972,Province,Nouveau-Brunswick,Langue maternelle,"Langues athabascanes, n.i.a.",5
10973,Province,Nouveau-Brunswick,Langue maternelle,Haïda,0
10976,Province,Nouveau-Brunswick,Langue maternelle,Inuinnaqtun,0
10977,Province,Nouveau-Brunswick,Langue maternelle,Inuvialuktun,0
10978,Province,Nouveau-Brunswick,Langue maternelle,Inuktitut,20
10979,Province,Nouveau-Brunswick,Langue maternelle,"Langues inuktutes (inuites), n.i.a.",0
10981,Province,Nouveau-Brunswick,Langue maternelle,Cayuga,0
10982,Province,Nouveau-Brunswick,Langue maternelle,Mohawk,0
10983,Province,Nouveau-Brunswick,Langue maternelle,Oneida,0
10984,Province,Nouveau-Brunswick,Langue maternelle,"Langues iroquoiennes, n.i.a.",0
10985,Province,Nouveau-Brunswick,Langue maternelle,Ktunaxa (kutenai),0
10986,Province,Nouveau-Brunswick,Langue maternelle,Michif,0
10988,Province,Nouveau-Brunswick,Langue maternelle,Halkomelem,0
10989,Province,Nouveau-Brunswick,Langue maternelle,Lillooet,0
10990,Province,Nouveau-Brunswick,Langue maternelle,Ntlakapamux (thompson),0
10991,Province,Nouveau-Brunswick,Langue maternelle,Secwepemctsin (shuswap),0
10992,Province,Nouveau-Brunswick,Langue maternelle,Squamish,0
10993,Province,Nouveau-Brunswick,Langue maternelle,Straits,0
10994,Province,Nouveau-Brunswick,Langue maternelle,Syilx (okanagan),0
10995,Province,Nouveau-Brunswick,Langue maternelle,"Langues salishennes, n.i.a.",0
10997,Province,Nouveau-Brunswick,Langue maternelle,Assiniboine,0
10998,Province,Nouveau-Brunswick,Langue maternelle,Dakota,0
10999,Province,Nouveau-Brunswick,Langue maternelle,Stoney,0
11000,Province,Nouveau-Brunswick,Langue maternelle,"Langues siouennes, n.i.a.",0
11002,Province,Nouveau-Brunswick,Langue maternelle,Gitxsan (gitksan),0
11003,Province,Nouveau-Brunswick,Langue maternelle,Nisga'a,0
11004,Province,Nouveau-Brunswick,Langue maternelle,Tsimshian,0
11006,Province,Nouveau-Brunswick,Langue maternelle,Haisla,0
11007,Province,Nouveau-Brunswick,Langue maternelle,Heiltsuk,0
11008,Province,Nouveau-Brunswick,Langue maternelle,Kwak'wala (kwakiutl),0
11009,Province,Nouveau-Brunswick,Langue maternelle,Nuu-chah-nulth (nootka),0
11010,Province,Nouveau-Brunswick,Langue maternelle,"Langues wakashanes, n.i.a.",0
11011,Province,Nouveau-Brunswick,Langue maternelle,"Langues autochtones, n.i.a.",0
11012,Province,Nouveau-Brunswick,Langue maternelle,"Langues autochtones, n.d.a.",5
11016,Province,Nouveau-Brunswick,Langue maternelle,Kabyle,65
11017,Province,Nouveau-Brunswick,Langue maternelle,Tamazight,10
11018,Province,Nouveau-Brunswick,Langue maternelle,"Langues berbères, n.i.a.",5
11020,Province,Nouveau-Brunswick,Langue maternelle,Haoussa,10
11021,Province,Nouveau-Brunswick,Langue maternelle,Mina,10
11022,Province,Nouveau-Brunswick,Langue maternelle,Copte,0
11024,Province,Nouveau-Brunswick,Langue maternelle,Bilen,0
11025,Province,Nouveau-Brunswick,Langue maternelle,Oromo,0
11026,Province,Nouveau-Brunswick,Langue maternelle,Somali,105
11027,Province,Nouveau-Brunswick,Langue maternelle,"Langues couchitiques, n.i.a.",0
11029,Province,Nouveau-Brunswick,Langue maternelle,Amharique,40
11030,Province,Nouveau-Brunswick,Langue maternelle,Arabe,4345
11032,Province,Nouveau-Brunswick,Langue maternelle,Assyrien néo-araméen,0
11033,Province,Nouveau-Brunswick,Langue maternelle,Chaldéen néo-araméen,0
11034,Province,Nouveau-Brunswick,Langue maternelle,"Araméen, n.d.a.",5
11035,Province,Nouveau-Brunswick,Langue maternelle,Harari,0
11036,Province,Nouveau-Brunswick,Langue maternelle,Hébreu,185
11037,Province,Nouveau-Brunswick,Langue maternelle,Maltais,5
11038,Province,Nouveau-Brunswick,Langue maternelle,Tigrigna,45
11039,Province,Nouveau-Brunswick,Langue maternelle,"Langues sémitiques, n.i.a.",10
11041,Province,Nouveau-Brunswick,Langue maternelle,Khmer (cambodgien),20
11042,Province,Nouveau-Brunswick,Langue maternelle,Vietnamien,940
11043,Province,Nouveau-Brunswick,Langue maternelle,"Langues austro-asiatiques, n.i.a.",0
11045,Province,Nouveau-Brunswick,Langue maternelle,Bicol,5
11046,Province,Nouveau-Brunswick,Langue maternelle,"Bisaya, n.d.a.",70
11047,Province,Nouveau-Brunswick,Langue maternelle,Cebuano,225
11048,Province,Nouveau-Brunswick,Langue maternelle,Fidjien,0
11049,Province,Nouveau-Brunswick,Langue maternelle,Hiligaïnon,30
11050,Province,Nouveau-Brunswick,Langue maternelle,Ilocano,75
11051,Province,Nouveau-Brunswick,Langue maternelle,Indonésien,60
11052,Province,Nouveau-Brunswick,Langue maternelle,Kankanaey,5
11053,Province,Nouveau-Brunswick,Langue maternelle,Kinaray-a,0
11055,Province,Nouveau-Brunswick,Langue maternelle,Merina,25
11056,Province,Nouveau-Brunswick,Langue maternelle,"Malgache, n.d.a.",15
11057,Province,Nouveau-Brunswick,Langue maternelle,Malais,15
11058,Province,Nouveau-Brunswick,Langue maternelle,"Pampangan (kapampangan, pampango)",10
11059,Province,Nouveau-Brunswick,Langue maternelle,Pangasinan,5
11060,Province,Nouveau-Brunswick,Langue maternelle,"Tagalog (pilipino, filipino)",2590
11061,Province,Nouveau-Brunswick,Langue maternelle,Waray-waray,10
11062,Province,Nouveau-Brunswick,Langue maternelle,"Langues austronésiennes, n.i.a.",30
11064,Province,Nouveau-Brunswick,Langue maternelle,Créole haïtien,95
11065,Province,Nouveau-Brunswick,Langue maternelle,Créole jamaïcain anglais,15
11066,Province,Nouveau-Brunswick,Langue maternelle,Krio,10
11067,Province,Nouveau-Brunswick,Langue maternelle,Mauricien,30
11068,Province,Nouveau-Brunswick,Langue maternelle,Sango,5
11069,Province,Nouveau-Brunswick,Langue maternelle,"Créole, n.d.a.",30
11070,Province,Nouveau-Brunswick,Langue maternelle,"Langues créoles, n.i.a.",5
11072,Province,Nouveau-Brunswick,Langue maternelle,Kannada,55
11073,Province,Nouveau-Brunswick,Langue maternelle,Malayalam,275
11074,Province,Nouveau-Brunswick,Langue maternelle,Tamoul,225
11075,Province,Nouveau-Brunswick,Langue maternelle,Telougou,270
11076,Province,Nouveau-Brunswick,Langue maternelle,Tulu,0
11077,Province,Nouveau-Brunswick,Langue maternelle,"Langues dravidiennes, n.i.a.",0
11078,Province,Nouveau-Brunswick,Langue maternelle,Géorgien,5
11079,Province,Nouveau-Brunswick,Langue maternelle,Langues hmong-mien,0
11081,Province,Nouveau-Brunswick,Langue maternelle,Albanais,60
11082,Province,Nouveau-Brunswick,Langue maternelle,Arménien,30
11085,Province,Nouveau-Brunswick,Langue maternelle,Letton,25
11086,Province,Nouveau-Brunswick,Langue maternelle,Lituanien,45
11088,Province,Nouveau-Brunswick,Langue maternelle,Biélorusse,0
11089,Province,Nouveau-Brunswick,Langue maternelle,Bulgare,35
11090,Province,Nouveau-Brunswick,Langue maternelle,Tchèque,75
11091,Province,Nouveau-Brunswick,Langue maternelle,Macédonien,20
11092,Province,Nouveau-Brunswick,Langue maternelle,Polonais,295
11093,Province,Nouveau-Brunswick,Langue maternelle,Russe,1520
11094,Province,Nouveau-Brunswick,Langue maternelle,Russine,0
11096,Province,Nouveau-Brunswick,Langue maternelle,Bosniaque,60
11097,Province,Nouveau-Brunswick,Langue maternelle,Croate,90
11098,Province,Nouveau-Brunswick,Langue maternelle,Serbe,145
11099,Province,Nouveau-Brunswick,Langue maternelle,"Serbo-croate, n.i.a.",10
11100,Province,Nouveau-Brunswick,Langue maternelle,Slovaque,45
11101,Province,Nouveau-Brunswick,Langue maternelle,Slovène,10
11102,Province,Nouveau-Brunswick,Langue maternelle,Ukrainien,455
11103,Province,Nouveau-Brunswick,Langue maternelle,"Langues slaves, n.i.a.",0
11105,Province,Nouveau-Brunswick,Langue maternelle,Irlandais,5
11106,Province,Nouveau-Brunswick,Langue maternelle,Gaélique écossais,5
11107,Province,Nouveau-Brunswick,Langue maternelle,Gallois,10
11108,Province,Nouveau-Brunswick,Langue maternelle,"Langues celtiques, n.i.a.",0
11110,Province,Nouveau-Brunswick,Langue maternelle,Frison,25
11112,Province,Nouveau-Brunswick,Langue maternelle,Allemand,1505
11113,Province,Nouveau-Brunswick,Langue maternelle,Allemand pennsylvanien,55
11114,Province,Nouveau-Brunswick,Langue maternelle,Allemand suisse,50
11115,Province,Nouveau-Brunswick,Langue maternelle,Yiddish,0
11117,Province,Nouveau-Brunswick,Langue maternelle,Afrikaans,120
11118,Province,Nouveau-Brunswick,Langue maternelle,Néerlandais,820
11119,Province,Nouveau-Brunswick,Langue maternelle,"Bas-allemand, n.d.a.",0
11120,Province,Nouveau-Brunswick,Langue maternelle,Bas-saxon,0
11121,Province,Nouveau-Brunswick,Langue maternelle,Bas-allemand mennonite,15
11122,Province,Nouveau-Brunswick,Langue maternelle,Vlaams (flamand),20
11124,Province,Nouveau-Brunswick,Langue maternelle,Danois,90
11125,Province,Nouveau-Brunswick,Langue maternelle,Islandais,0
11126,Province,Nouveau-Brunswick,Langue maternelle,Norvégien,35
11127,Province,Nouveau-Brunswick,Langue maternelle,Suédois,50
11128,Province,Nouveau-Brunswick,Langue maternelle,"Langues germaniques, n.i.a.",5
11129,Province,Nouveau-Brunswick,Langue maternelle,Grec,140
11132,Province,Nouveau-Brunswick,Langue maternelle,Assamais,0
11133,Province,Nouveau-Brunswick,Langue maternelle,Bengali,410
11134,Province,Nouveau-Brunswick,Langue maternelle,Gujarati,455
11135,Province,Nouveau-Brunswick,Langue maternelle,Hindi,695
11136,Province,Nouveau-Brunswick,Langue maternelle,Kacchi,10
11137,Province,Nouveau-Brunswick,Langue maternelle,Cachemiri,0
11138,Province,Nouveau-Brunswick,Langue maternelle,Konkani,15
11139,Province,Nouveau-Brunswick,Langue maternelle,Marathi,95
11140,Province,Nouveau-Brunswick,Langue maternelle,Népalais,120
11142,Province,Nouveau-Brunswick,Langue maternelle,Odia,5
11143,Province,Nouveau-Brunswick,Langue maternelle,"Oriya, n.d.a.",5
11144,Province,Nouveau-Brunswick,Langue maternelle,Pendjabi (panjabi),1765
11145,Province,Nouveau-Brunswick,Langue maternelle,Rohingya,0
11146,Province,Nouveau-Brunswick,Langue maternelle,Sindhi,10
11147,Province,Nouveau-Brunswick,Langue maternelle,Singhalais,55
11148,Province,Nouveau-Brunswick,Langue maternelle,Ourdou,385
11149,Province,Nouveau-Brunswick,Langue maternelle,"Langues indo-aryennes, n.i.a.",10
11151,Province,Nouveau-Brunswick,Langue maternelle,Baloutche,0
11152,Province,Nouveau-Brunswick,Langue maternelle,Kurde,130
11153,Province,Nouveau-Brunswick,Langue maternelle,Parsi,0
11154,Province,Nouveau-Brunswick,Langue maternelle,Pachto,30
11156,Province,Nouveau-Brunswick,Langue maternelle,Dari,35
11157,Province,Nouveau-Brunswick,Langue maternelle,Persan iranien,575
11158,Province,Nouveau-Brunswick,Langue maternelle,"Persan (farsi), n.d.a.",45
11159,Province,Nouveau-Brunswick,Langue maternelle,"Langues iraniennes, n.i.a.",0
11160,Province,Nouveau-Brunswick,Langue maternelle,"Langues indo-iraniennes, n.i.a.",0
11162,Province,Nouveau-Brunswick,Langue maternelle,Catalan,0
11163,Province,Nouveau-Brunswick,Langue maternelle,Italien,400
11164,Province,Nouveau-Brunswick,Langue maternelle,Portugais,1125
11165,Province,Nouveau-Brunswick,Langue maternelle,Roumain,495
11166,Province,Nouveau-Brunswick,Langue maternelle,Espagnol,2210
11167,Province,Nouveau-Brunswick,Langue maternelle,"Langues italiques (romanes), n.i.a.",5
11168,Province,Nouveau-Brunswick,Langue maternelle,"Langues indo-européennes, n.i.a.",5
11169,Province,Nouveau-Brunswick,Langue maternelle,Japonais,120
11170,Province,Nouveau-Brunswick,Langue maternelle,Coréen,1460
11171,Province,Nouveau-Brunswick,Langue maternelle,Mongol,5
11173,Province,Nouveau-Brunswick,Langue maternelle,Akan (twi),25
11174,Province,Nouveau-Brunswick,Langue maternelle,Bamanankan,65
11175,Province,Nouveau-Brunswick,Langue maternelle,Edo,5
11177,Province,Nouveau-Brunswick,Langue maternelle,"Fulah (peul, pular, pulaar, fulfulde)",55
11178,Province,Nouveau-Brunswick,Langue maternelle,Ga,0
11179,Province,Nouveau-Brunswick,Langue maternelle,Ganda,5
11180,Province,Nouveau-Brunswick,Langue maternelle,Gikuyu,0
11181,Province,Nouveau-Brunswick,Langue maternelle,Igbo,50
11182,Province,Nouveau-Brunswick,Langue maternelle,Kinyarwanda (rwanda),105
11183,Province,Nouveau-Brunswick,Langue maternelle,Lingala,40
11184,Province,Nouveau-Brunswick,Langue maternelle,Luba-kasaï,0
11185,Province,Nouveau-Brunswick,Langue maternelle,Mòoré,10
11186,Province,Nouveau-Brunswick,Langue maternelle,Mwani,0
11187,Province,Nouveau-Brunswick,Langue maternelle,Ndébélé,5
11188,Province,Nouveau-Brunswick,Langue maternelle,Rundi (kiroundi),90
11189,Province,Nouveau-Brunswick,Langue maternelle,Shona,30
11190,Province,Nouveau-Brunswick,Langue maternelle,Soninké,5
11191,Province,Nouveau-Brunswick,Langue maternelle,Langues sotho-tswana,0
11192,Province,Nouveau-Brunswick,Langue maternelle,Swahili,270
11193,Province,Nouveau-Brunswick,Langue maternelle,Wojenaka,15
11194,Province,Nouveau-Brunswick,Langue maternelle,Wolof,45
11195,Province,Nouveau-Brunswick,Langue maternelle,Yoruba,145
11196,Province,Nouveau-Brunswick,Langue maternelle,"Langues nigéro-congolaises, n.i.a.",150
11198,Province,Nouveau-Brunswick,Langue maternelle,Dinka,0
11199,Province,Nouveau-Brunswick,Langue maternelle,Nuer,0
11200,Province,Nouveau-Brunswick,Langue maternelle,"Langues nilo-sahariennes, n.i.a.",35
11201,Province,Nouveau-Brunswick,Langue maternelle,"Africain, n.d.a.",0
11203,Province,Nouveau-Brunswick,Langue maternelle,Langue des signes américaine,120
11204,Province,Nouveau-Brunswick,Langue maternelle,Langue des signes québécoise,15
11208,Province,Nouveau-Brunswick,Langue maternelle,Hakka,10
11209,Province,Nouveau-Brunswick,Langue maternelle,Mandarin,2340
11210,Province,Nouveau-Brunswick,Langue maternelle,Min dong,5
11211,Province,Nouveau-Brunswick,Langue maternelle,"Min nan (chaochow, teochow, fou-kien, taïwanais)",45
11212,Province,Nouveau-Brunswick,Langue maternelle,Wu (shanghaïen),35
11213,Province,Nouveau-Brunswick,Langue maternelle,Yue (cantonais),470
11214,Province,Nouveau-Brunswick,Langue maternelle,"Chinois, n.d.a.",50
11215,Province,Nouveau-Brunswick,Langue maternelle,"Langues chinoises, n.i.a.",5
11217,Province,Nouveau-Brunswick,Langue maternelle,Birman,15
11220,Province,Nouveau-Brunswick,Langue maternelle,Karen s’gaw,15
11221,Province,Nouveau-Brunswick,Langue maternelle,"Langues karéniques, n.i.a.",0
11222,Province,Nouveau-Brunswick,Langue maternelle,Tibétain,0
11223,Province,Nouveau-Brunswick,Langue maternelle,"Langues tibéto-birmanes, n.i.a.",20
11224,Province,Nouveau-Brunswick,Langue maternelle,"Langues sino-tibétaines, n.i.a.",5
11226,Province,Nouveau-Brunswick,Langue maternelle,Lao,5
11227,Province,Nouveau-Brunswick,Langue maternelle,Thaï,80
11228,Province,Nouveau-Brunswick,Langue maternelle,"Langues taï-kadaï, n.i.a.",0
