# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 15:47:49 2023
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
#
star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
eps Eri,HIP 16537,HD 22049,GJ 144,2MASS J03325591-0927298,1,1,1,1,1,1,1,03h32m56.42s,53.235090,-09d27m29.9s,-9.458306,3.21,,,3.710,0.020,0.880,0.010,K2.0V,0.350,0.060
HIP 16582,HIP 16582,HD 22094,,2MASS J03332977-0232342,1,0,0,0,0,0,0,03h33m29.80s,53.374152,-02d32m34.4s,-2.542884,21.37,,,8.670,0.040,1.080,0.040,K0,0.180,
HIP 16711,HIP 16711,HD 22496,GJ 146,2MASS J03350093-4825089,1,0,0,0,0,0,0,03h35m00.58s,53.752434,-48d25m11.6s,-48.419889,13.61,0.14,-0.13,8.580,0.030,1.320,0.030,K5/M0V,0.130,0.060
HIP 16852,HIP 16852,HD 22484,GJ 147,2MASS J03365238+0024054,1,1,1,1,1,1,0,03h36m52.52s,54.218829,+00d24m10.2s,0.402833,13.96,0.14,-0.14,4.290,0.010,0.580,0.010,F8V,3.290,0.050
HIP 17147,HIP 17147,HD 22879,GJ 147.1,2MASS J03402202-0313005,1,0,0,0,0,0,0,03h40m21.66s,55.090257,-03d12m59.3s,-3.216461,25.56,0.26,-0.25,6.670,0.010,0.560,0.010,F7/8V,1.240,0.050
HIP 17157,HIP 17157,,,2MASS J03402936-4755305,1,0,0,0,0,0,0,03h40m29.30s,55.122092,-47d55m31.4s,-47.925389,24.47,0.76,-0.71,9.590,0.000,1.270,0.000,K7,0.160,0.060
HIP 17207,HIP 17207,,GJ 148,2MASS J03411051+0336410,1,0,0,0,0,0,0,03h41m10.55s,55.293945,+03d36m43.0s,3.611954,24.04,1.27,-1.14,9.610,0.010,1.360,0.010,Mp,0.180,0.130
HIP 17336,HIP 17336,HD 23052,,2MASS J03423690+1717366,1,0,0,0,0,0,0,03h42m36.96s,55.654011,+17d17m36.3s,17.293426,24.66,0.76,-0.72,7.080,0.020,0.660,0.000,G0,0.810,0.080
HIP 17346,HIP 17346,,GJ 149 A,2MASS J03424468-2427582,1,0,0,0,0,0,0,03h42m44.66s,55.686086,-24d27m55.5s,-24.465416,26.34,0.81,-0.77,9.200,0.000,1.130,0.000,K5V,0.200,0.070
HIP 17365,HIP 17365,,,2MASS J03430621-1253398,1,0,0,0,0,0,0,03h43m06.34s,55.776419,-12d53m39.9s,-12.894412,29.90,2.60,-2.21,10.870,0.010,1.340,0.010,K5,0.080,0.180
HIP 17378,HIP 17378,HD 23249,GJ 150,2MASS J03431490-0945490,1,1,1,0,0,1,0,03h43m14.96s,55.812317,-09d45m54.7s,-9.765199,9.04,,,3.520,0.020,0.930,0.020,K0IV,3.370,0.060
HIP 17405,HIP 17405,,GJ 150.1 B,2MASS J03434521+1640027,1,0,0,0,0,0,0,03h43m45.15s,55.938134,+16d40m04.9s,16.668022,16.69,0.70,-0.64,10.760,0.010,1.500,0.010,M1,0.050,0.130
HIP 17414,HIP 17414,,GJ 150.1 A,2MASS J03435253+1640198,1,0,0,0,0,0,0,03h43m52.47s,55.968616,+16d40m22.1s,16.672798,17.71,0.55,-0.52,9.900,0.010,1.460,0.010,M2,0.080,0.090
HIP 17420,HIP 17420,HD 23356,,2MASS J03435531-1906394,1,0,0,0,0,0,0,03h43m55.15s,55.979798,-19d06m40.6s,-19.111280,13.95,0.14,-0.14,7.100,0.000,0.930,0.000,K2V,0.310,0.030
HIP 17439,HIP 17439,HD 23484,GJ 152,2MASS J03440917-3816544,1,0,0,0,0,0,0,03h44m09.02s,56.037574,-38d16m56.9s,-38.282473,16.03,0.16,-0.16,7.000,0.010,0.880,0.010,K1V,0.430,0.040
HIP 17440,HIP 17440,HD 23817,GJ 154.2,2MASS J03441195-6448248,1,1,0,0,0,0,0,03h44m11.55s,56.048145,-64d48m25.5s,-64.807094,29.86,0.61,-0.59,3.840,0.000,1.130,0.000,K0IV SB,39.120,0.110
HIP 17458,HIP 17458,HD 278968,,2MASS J03443093+3458236,1,0,0,0,0,0,0,03h44m30.81s,56.128357,+34d58m24.7s,34.973520,25.32,1.62,-1.43,10.630,0.010,1.380,0.020,M0,0.080,0.140
HIP 17468,HIP 17468,,,2MASS J03443536+3210045,1,0,0,0,0,0,0,03h44m35.35s,56.147311,+32d10m04.7s,32.167961,24.15,14.80,-6.65,9.670,0.090,0.880,0.020,A2,0.100,1.130
HIP 17491,HIP 17491,HD 23140,GJ 150.2,2MASS J03444886+4602089,1,0,0,0,0,0,0,03h44m48.59s,56.202467,+46d02m09.9s,46.036085,25.89,0.53,-0.51,7.720,0.000,0.860,0.000,K2,0.600,0.050
HIP 17496,HIP 17496,,GJ 150.2,2MASS J03445108+1155118,1,0,0,0,0,0,0,03h44m50.94s,56.212242,+11d55m10.9s,11.919694,22.56,0.70,-0.66,9.130,0.000,1.180,0.000,K8V:,0.180,0.060
HIP 17544 A,HIP 17544 A,HD 23588,GJ 154.1 A,2MASS J03452415-2751451 A,1,0,0,0,0,0,0,03h45m23.92s,56.349672,-27d51m46.2s,-27.862820,21.57,0.44,-0.42,8.180,0.010,1.000,0.010,K2V,0.320,0.060
HIP 17609,HIP 17609,HD 23453,GJ 154,2MASS J03462011+2612560,1,0,0,0,0,0,0,03h46m19.89s,56.582869,+26d12m57.5s,26.215983,14.75,0.46,-0.43,9.610,0.010,1.440,0.020,K5,0.080,0.080
HIP 17651,HIP 17651,HD 23754,GJ 155,2MASS J03465090-2314585,1,1,0,0,1,0,0,03h46m50.99s,56.712454,-23d14m54.4s,-23.248438,17.63,,,4.220,0.010,0.430,0.010,F3/5V,5.390,0.100
HIP 17666 A,HIP 17666 A,HD 23439 A,GJ 155,2MASS J03470204+4125397,1,0,0,0,0,0,0,03h47m01.65s,56.756874,+41d25m49.0s,41.430278,21.91,1.40,-1.24,7.670,0.010,0.800,0.010,K1V,0.370,0.140
HIP 17695,HIP 17695,,,2MASS J03472333-0158195,1,0,0,0,0,0,0,03h47m23.24s,56.846817,-01d58m17.5s,-1.971542,16.13,0.85,-0.77,11.530,0.010,1.520,0.010,,0.030,0.150
HIP 17743,HIP 17743,,GJ 155.1,2MASS J03475809+0247161,1,0,0,0,0,0,0,03h47m58.33s,56.993035,+02d47m19.9s,2.788854,16.85,0.70,-0.65,11.040,0.010,1.540,0.010,M0V:,0.030,0.140
HIP 17749,HIP 17749,HD 23189 A,GJ 153 A,2MASS J03480101+6840222,1,0,0,0,0,0,0,03h48m00.83s,57.003477,+68d40m20.2s,68.672287,17.34,0.91,-0.83,9.170,0.010,1.310,0.020,K0,0.110,0.130
HIP 17750 B,HIP 17750 B,HD 23189 B,GJ 153 B,2MASS J03480174+6840388 B,1,0,0,0,0,0,0,03h48m01.34s,57.005589,+68d40m36.8s,68.676889,23.56,133.51,-10.82,10.510,0.100,1.530,0.020,M2...,0.100,4.220
HIP 17956,HIP 17956,,,2MASS J03501958-2349448,1,0,0,0,0,0,0,03h50m19.52s,57.581334,-23d49m42.9s,-23.828586,29.54,1.89,-1.67,9.850,0.010,1.220,0.020,K7,0.160,0.140
HIP 17978,HIP 17978,HD 24331,,2MASS J03503548-4233561,1,0,0,0,0,0,0,03h50m35.33s,57.647214,-42d34m01.4s,-42.567049,27.52,0.56,-0.54,8.610,0.010,0.910,0.010,K3V,0.300,0.060
HIP 18097,HIP 18097,HD 24206,,2MASS J03520556+2240185,1,0,0,0,0,0,0,03h52m05.47s,58.022779,+22d40m20.8s,22.672457,26.98,0.55,-0.53,7.570,0.000,0.680,0.000,G0,0.630,0.050
HIP 18115 A,HIP 18115 A,,,2MASS J03522310-2252563 A,1,0,0,0,0,0,0,03h52m22.89s,58.095379,-22d52m58.7s,-22.882971,24.35,3.32,-2.61,11.460,0.010,1.530,0.010,M2Vk:,0.050,0.300
HIP 18180,HIP 18180,,GJ 155.3,2MASS J03531971-3703587,1,0,0,0,0,0,0,03h53m20.00s,58.333317,-37d03m49.6s,-37.063784,25.65,1.93,-1.68,12.130,0.020,1.450,0.030,K:,0.030,0.210
HIP 18267,HIP 18267,HD 24496,GJ 3255,2MASS J03542799+1636582,1,0,0,0,0,0,0,03h54m27.90s,58.616254,+16d36m59.2s,16.616456,20.43,0.21,-0.20,6.820,0.020,0.720,0.000,G0,0.760,0.060
HIP 18280,HIP 18280,,GJ 156,2MASS J03543546-0649342,1,0,0,0,0,0,0,03h54m35.47s,58.647789,-06d49m38.3s,-6.827297,15.57,0.32,-0.31,9.020,0.010,1.380,0.010,M0V,0.120,0.090
HIP 18324,HIP 18324,HD 24238,GJ 155.2,2MASS J03550380+6110006,1,0,0,0,0,0,0,03h55m03.31s,58.763805,+61d10m02.7s,61.167404,21.01,0.43,-0.41,7.820,0.020,0.830,0.000,K0V,0.350,0.070
HIP 18413 A,HIP 18413 A,HD 24409,GJ 3257,2MASS J03561156+5938309 A,1,0,0,0,0,0,0,03h56m11.85s,59.049371,+59d38m29.4s,59.641500,21.98,0.22,-0.22,6.550,0.020,0.670,0.020,G0,1.110,0.050
HIP 18450,HIP 18450,HD 25004,GJ 1066,2MASS J03563637-4120367,1,0,0,0,0,0,0,03h56m36.33s,59.151386,-41d20m37.7s,-41.343795,17.76,0.18,-0.18,8.870,0.040,1.210,0.000,K4V,0.150,0.080
HIP 18465,HIP 18465,,GJ 156.1 A,2MASS J03564739+5333369,1,0,0,0,0,0,0,03h56m47.10s,59.196231,+53d33m40.3s,53.561185,26.98,2.67,-2.23,10.860,0.010,1.430,0.020,M1,0.100,0.230
HIP 18512 A,HIP 18512 A,HD 24916 A,GJ 157 A,2MASS J03572871-0109338,1,0,0,0,0,0,0,03h57m28.81s,59.370031,-01d09m32.8s,-1.159114,15.53,0.32,-0.30,8.090,0.030,1.120,0.010,K4V,0.190,0.070
HIP 18774,HIP 18774,HD 24451,GJ 156.2,2MASS J04011954+7609343,1,0,0,0,0,0,0,04h01m18.81s,60.328391,+76d09m38.5s,76.160701,16.25,0.16,-0.16,8.220,0.020,1.130,0.020,K4V,0.190,0.060
HIP 18844,HIP 18844,HD 25874,,2MASS J04022693-6121252,1,0,0,0,0,0,0,04h02m26.56s,60.610655,-61d21m25.9s,-61.357205,25.91,0.26,-0.26,6.740,0.000,0.670,0.000,G2V,1.240,0.030
HIP 18859,HIP 18859,HD 25457,GJ 159,2MASS J04023675-0016078,1,0,0,0,0,1,0,04h02m36.66s,60.652736,-00d16m05.9s,-0.268311,18.83,0.19,-0.19,5.380,0.020,0.520,0.010,F7/8V,2.170,0.100
HIP 18899,HIP 18899,,,2MASS J04030401-1509014,1,0,0,0,0,0,0,04h03m03.94s,60.766430,-15d09m07.5s,-15.152097,8.55,5.70,-2.44,10.140,0.090,0.820,0.090,,0.010,1.210
HIP 18907,HIP 18907,HD 25490,,2MASS J04030936+0559214,0,1,0,0,0,0,0,04h03m09.38s,60.789085,+05d59m21.5s,5.989305,39.62,1.32,-1.41,3.910,,0.030,,A0.5 Va,,
HIP 18915,HIP 18915,HD 25329,GJ 158,2MASS J04031512+3516226,1,0,0,0,0,0,0,04h03m13.76s,60.807338,+35d16m35.7s,35.276595,18.29,0.37,-0.36,8.510,0.000,0.860,0.000,K1V...,0.150,0.040
HIP 19076,HIP 19076,HD 25680,GJ 160,2MASS J04052023+2200321,1,0,0,0,0,0,0,04h05m20.15s,61.333956,+22d00m33.2s,22.009222,16.94,0.17,-0.17,5.900,0.010,0.620,0.020,G5V,1.120,0.050
GJ 160.2,HIP 19165,,GJ 160.2,2MASS J04063483-2051103,1,0,0,0,0,0,1,04h06m34.81s,61.645037,-20d51m04.4s,-20.851226,23.12,0.96,-0.89,9.680,0.010,1.230,0.010,K7,0.120,0.100
HIP 19205,HIP 19205,HD 25867,,2MASS J04070046+2900046,1,0,0,0,0,0,0,04h07m00.52s,61.752156,+29d00m04.6s,29.001288,27.60,0.28,-0.27,5.200,0.020,0.340,0.020,F1V,5.230,0.060
HIP 19233,HIP 19233,HD 26491,GJ 162.1,2MASS J04072154-6413209,1,0,0,0,0,0,0,04h07m21.29s,61.838719,-64d13m23.2s,-64.223110,23.63,0.24,-0.23,6.370,0.000,0.640,0.000,G3V,1.440,0.020
HIP 19255 A,HIP 19255 A,HD 25893,GJ 160.1 A,2MASS J04073434+3804293 A,1,0,0,0,0,0,0,04h07m34.22s,61.892603,+38d04m30.3s,38.075088,20.38,0.21,-0.20,7.130,0.010,0.870,0.010,G5,0.670,0.040
HIP 19301,HIP 19301,HD 25918,,2MASS J04081426+4439462,1,0,0,0,0,0,0,04h08m14.51s,62.060438,+44d39m47.4s,44.663162,29.54,0.60,-0.58,7.710,0.020,0.740,0.020,G5,0.680,0.070
HIP 19333,HIP 19333,,GJ 162.2,2MASS J04083572-5931366,1,0,0,0,0,0,0,04h08m35.81s,62.149229,-59d31m35.5s,-59.526531,25.95,0.53,-0.51,9.720,0.060,1.210,0.010,K4V,0.150,0.130
HIP 19335,HIP 19335,HD 25998,GJ 161.1,2MASS J04083660+3802230,1,0,0,0,0,0,0,04h08m36.49s,62.152062,+38d02m24.8s,38.040228,21.00,0.21,-0.21,5.510,0.020,0.520,0.010,F7V,2.360,0.060
HIP 19337,HIP 19337,HD 281621,GJ 162,2MASS J04083742+3338134,1,0,0,0,0,0,0,04h08m37.03s,62.154290,+33d38m12.2s,33.636730,13.45,0.56,-0.52,10.180,0.020,1.500,0.040,M1,0.050,0.140
GJ 163,HIP 19394,,GJ 163,2MASS J04091567-5322254,1,0,0,0,0,0,3,04h09m14.64s,62.311020,-53d22m30.4s,-53.375113,14.99,0.46,-0.44,11.790,0.010,1.480,0.010,M,0.020,0.110
HIP 19422,HIP 19422,HD 25665,GJ 161,2MASS J04093502+6932292,1,0,0,0,0,0,0,04h09m34.92s,62.395493,+69d32m31.6s,69.542118,18.75,0.19,-0.19,7.700,0.020,0.950,0.010,G5,0.320,0.060
HIP 19655,HIP 19655,,GJ 161,2MASS J04124219+7012055,1,0,0,0,0,0,0,04h12m42.34s,63.176427,+70d12m05.4s,70.201487,26.14,0.81,-0.76,9.730,0.000,1.220,0.010,M0V:,0.150,0.080
HIP 19747,HIP 19747,HD 26967,,2MASS J04140010-4217396,0,1,0,0,0,0,0,04h14m00.11s,63.500477,-42d17m39.7s,-42.294369,35.91,0.65,-0.67,3.860,,1.100,,K2 III,,
HIP 19832,HIP 19832,,GJ 1069,2MASS J04150951-0425060,1,0,0,0,0,0,0,04h15m09.48s,63.789483,-04d25m05.1s,-4.418093,20.79,1.56,-1.36,9.380,0.000,1.210,0.010,K5V,0.130,0.170
HIP 19841,HIP 19841,HD 26018,GJ 3267,2MASS J04151370+7617168,1,0,0,0,0,0,0,04h15m13.61s,63.806713,+76d17m19.0s,76.288598,26.25,0.54,-0.51,8.190,0.010,0.840,0.020,G5,0.380,0.060
HD 26965,HIP 19849,HD 26965,GJ 166 A,2MASS J04151651-0739068,1,1,1,1,1,1,1,04h15m17.64s,63.823492,-07d38m40.4s,-7.644558,4.98,,,4.430,0.000,0.820,0.000,K0.5V,0.420,0.100
HIP 19855,HIP 19855,HD 26913,,2MASS J04152578+0611588,1,0,0,0,0,0,0,04h15m25.85s,63.857696,+06d11m59.7s,6.199925,21.06,0.21,-0.21,6.940,0.010,0.700,0.010,G5IV,0.690,0.050
HIP 19859,HIP 19859,HD 26923,,2MASS J04152879+0611128,1,0,0,1,0,0,0,04h15m28.86s,63.870270,+06d11m13.6s,6.187121,21.33,0.22,-0.21,6.320,0.010,0.570,0.010,G0IV...,1.200,0.040
HIP 19861,HIP 19861,HD 26581,GJ 165.1,2MASS J04153238+5831202,1,0,0,0,0,0,0,04h15m32.20s,63.884170,+58d31m22.1s,58.522802,27.86,0.86,-0.81,8.710,0.030,1.010,0.010,K0,0.300,0.100
HIP 19884,HIP 19884,HD 27274,GJ 167,2MASS J04155689-5318353,1,0,0,0,0,0,0,04h15m56.14s,63.983899,-53d18m38.8s,-53.310771,13.04,0.13,-0.13,7.630,0.010,1.130,0.010,K5V,0.200,0.030
HIP 19893,HIP 19893,HD 27290,GJ 167.1,2MASS J04160159-5129119,1,1,0,0,0,0,0,04h16m01.49s,64.006214,-51d29m13.5s,-51.487096,20.46,0.21,-0.20,4.250,0.020,0.310,0.010,F0V,6.900,0.060
HD 27442,HIP 19921,HD 27442,GJ 167.3,2MASS J04162902-5918078,1,1,0,0,0,1,1,04h16m29.08s,64.121181,-59d18m06.3s,-59.301748,18.24,,,4.440,0.000,1.080,0.010,K1/2III,6.880,0.050
HIP 19930,HIP 19930,HD 26900,,2MASS J04163264+3630066,1,0,0,0,0,0,0,04h16m32.67s,64.136133,+36d30m08.6s,36.502377,26.62,0.54,-0.52,8.250,0.030,0.950,0.030,K2,0.390,0.080
HIP 19948 A,HIP 19948 A,,GJ 2033,2MASS J04164173-1233233 A,1,0,0,0,0,0,0,04h16m41.72s,64.173834,-12d33m24.9s,-12.556919,21.36,2.11,-1.76,10.900,0.010,1.530,0.010,M1.5+V,0.070,0.240
HIP 19990,HIP 19990,HD 27045,,2MASS J04171566+2034433,1,0,0,0,0,0,0,04h17m15.69s,64.315359,+20d34m43.5s,20.578740,28.94,0.29,-0.29,4.910,0.020,0.260,0.010,A3m,7.400,0.050
HIP 20142,HIP 20142,,,2MASS J04190576-0408555,1,0,0,0,0,0,0,04h19m05.70s,64.773741,-04d08m55.6s,-4.148776,28.25,1.49,-1.35,10.660,0.200,1.650,0.140,M0,0.100,0.360
HIP 20222,HIP 20222,,,2MASS J04195968+3629113,1,0,0,0,0,0,0,04h19m59.54s,64.998070,+36d29m15.3s,36.487588,22.27,2.20,-1.84,11.460,0.010,1.450,0.020,M3V,0.040,0.240
HIP 20232,HIP 20232,,,2MASS J04201057-1445400,1,0,0,0,0,0,0,04h20m10.48s,65.043662,-14d45m40.8s,-14.761345,28.92,1.52,-1.38,9.780,0.010,1.210,0.010,K5V,0.170,0.110
HIP 20302,HIP 20302,,,2MASS J04210050-3551207,1,0,0,0,0,0,0,04h21m00.35s,65.251468,-35d51m20.7s,-35.855739,29.03,1.53,-1.38,10.690,0.010,1.390,0.010,,0.100,0.110
HIP 20552 A,HIP 20552 A,HD 28255 A,GJ 9155 A,2MASS J04241220-5704169,1,0,0,0,0,0,0,04h24m12.32s,66.051331,-57d04m16.2s,-57.071157,27.70,0.57,-0.54,6.280,0.000,0.660,0.000,G2/8+(F),1.980,0.040
HIP 20800,HIP 20800,HD 28005,,2MASS J04272469+4651117,1,0,0,0,0,0,0,04h27m24.63s,66.852646,+46d51m14.0s,46.853889,28.18,0.28,-0.28,6.720,0.020,0.690,0.020,G0,1.460,0.050
HIP 20917,HIP 20917,HD 28343,GJ 169,2MASS J04290013+2155214,1,0,0,0,0,0,0,04h29m00.17s,67.250691,+21d55m20.2s,21.922275,11.39,0.12,-0.11,8.300,0.010,1.390,0.010,K7V,0.130,0.050
HIP 21000,HIP 21000,,,2MASS J04301255+0517544,1,0,0,0,0,0,0,04h30m12.52s,67.552166,+05d17m54.7s,5.298527,10.68,0.93,-0.79,10.560,0.120,0.570,0.120,F8+...,0.010,0.320
HIP 21086 A,HIP 21086 A,,,2MASS J04310905-1330523 A,1,0,0,0,0,0,0,04h31m09.14s,67.788074,-13d30m50.8s,-13.514101,19.11,1.44,-1.25,11.540,0.010,1.520,0.010,M2.5V,0.040,0.190
HIP 21088 A,HIP 21088 A,,GJ 169.1 A,2MASS J04311147+5858375,1,0,0,0,0,0,0,04h31m10.05s,67.791859,+58d58m55.4s,58.982053,5.54,0.06,-0.05,10.820,0.030,1.170,0.040,M4.0V,0.010,0.100
HIP 21223,HIP 21223,HD 29086,GJ 3298,2MASS J04330933-3656458,1,0,0,0,0,0,0,04h33m09.35s,68.288979,-36d56m46.1s,-36.946152,24.78,0.51,-0.49,8.710,0.030,0.990,0.020,K3/5V,0.250,0.090
HIP 21272,HIP 21272,HD 28946,GJ 9158,2MASS J04335040+0523060,1,0,0,0,0,0,0,04h33m50.45s,68.460209,+05d23m08.5s,5.385697,27.09,1.43,-1.29,7.920,0.000,0.780,0.000,K0,0.490,0.110
HIP 21276,HIP 21276,HD 28495,GJ 3295,2MASS J04335424+6437593,1,0,0,0,0,0,0,04h33m54.37s,68.476556,+64d37m59.1s,64.633094,25.40,0.79,-0.74,7.750,0.020,0.760,0.020,G0,0.520,0.090
HIP 21284,HIP 21284,HD 29220,GJ 1071,2MASS J04340121-4331290,1,0,0,0,0,0,0,04h34m01.17s,68.504874,-43d31m28.3s,-43.524518,22.42,0.23,-0.22,8.790,0.030,1.110,0.000,K3/4V,0.210,0.070
HIP 21327,HIP 21327,HD 29231,GJ 3300,2MASS J04343850-3539288,1,0,0,0,0,0,0,04h34m38.57s,68.660704,-35d39m27.0s,-35.657506,28.10,0.57,-0.55,7.610,0.000,0.780,0.000,G8V,0.690,0.040
alf Tau,HIP 21421,HD 29139,GJ 171.1 A,2MASS J04355524+1630331,1,1,0,0,0,0,1,04h35m55.20s,68.980002,+16d30m35.1s,16.509762,20.43,0.42,-0.40,0.870,0.010,1.540,0.010,K5III,469.490,0.060
HIP 21433,HIP 21433,HD 237287,GJ 171,2MASS J04360621+5524441,1,0,0,0,0,0,0,04h36m05.65s,69.023533,+55d24m46.8s,55.412989,29.64,0.92,-0.86,8.330,0.020,0.900,0.010,K2V,0.440,0.090
HIP 21482,HIP 21482,HD 283750,GJ 171.2 A,2MASS J04364822+2707559,1,0,0,0,0,0,0,04h36m48.09s,69.200376,+27d07m57.2s,27.132551,17.97,0.56,-0.52,8.100,0.030,1.100,0.010,K2,0.290,0.090
HIP 21492,HIP 21492,,,2MASS J04365843+5921599,1,0,0,0,0,0,0,04h36m58.31s,69.242954,+59d22m01.1s,59.366965,27.31,4.45,-3.35,12.490,0.010,0.910,0.100,,0.030,0.340
51 Eri,HIP 21547,HD 29391,,2MASS J04373613-0228248,1,0,0,0,0,0,1,04h37m36.11s,69.400444,-02d28m24.2s,-2.473392,29.43,0.30,-0.29,5.220,0.000,0.280,0.010,F0V,5.790,0.040
HIP 21553,HIP 21553,HD 232979,GJ 172,2MASS J04374092+5253372,1,0,0,0,0,0,0,04h37m40.64s,69.419318,+52d53m41.2s,52.894770,10.11,0.10,-0.10,8.620,0.010,1.420,0.010,K8V,0.080,0.040
HIP 21556,HIP 21556,,GJ 173,2MASS J04374188-1102198,1,0,0,0,0,0,0,04h37m42.00s,69.425003,-11d02m18.3s,-11.038404,11.10,0.23,-0.22,10.330,0.010,1.510,0.010,M1,0.030,0.110
HIP 21733 A,HIP 21733 A,,,2MASS J04400130-3104314 A,1,0,0,0,0,0,0,04h40m01.28s,70.005336,-31d04m32.6s,-31.075719,29.89,2.25,-1.96,11.100,0.290,1.620,0.290,Kp,0.100,0.540
HIP 21765,HIP 21765,,GJ 9163 A,2MASS J04402927-0911458 A,1,0,0,0,0,0,0,04h40m29.33s,70.122191,-09d11m45.0s,-9.195834,19.69,1.48,-1.29,10.260,0.010,1.480,0.010,M0V...,0.090,0.200
HIP 21770,HIP 21770,HD 29875,GJ 174.1 A,2MASS J04403374-4151495 A,1,1,0,0,0,0,0,04h40m33.82s,70.140930,-41d51m48.9s,-41.863570,20.17,,,4.440,0.010,0.340,0.010,F1V,5.610,0.050
HIP 21818,HIP 21818,HD 29697,GJ 174,2MASS J04411888+2054058,1,0,0,0,0,0,0,04h41m19.00s,70.329172,+20d54m07.7s,20.902131,13.19,0.27,-0.26,8.130,0.030,1.090,0.010,K3V,0.160,0.070
HIP 21832,HIP 21832,HD 29587,,2MASS J04413631+4207065,1,0,0,0,0,0,0,04h41m35.90s,70.399567,+42d07m10.1s,42.119484,27.57,0.56,-0.54,7.290,0.010,0.630,0.010,G2V,0.850,0.060
HIP 21861,HIP 21861,HD 29992,GJ 176.1,2MASS J04420348-3708395,1,0,0,0,0,0,0,04h42m03.45s,70.514360,-37d08m41.2s,-37.144766,28.67,0.29,-0.28,5.040,0.020,0.390,0.020,F3V,6.650,0.070
HIP 21884,HIP 21884,,,2MASS J04421603+5742275,1,0,0,0,0,0,0,04h42m16.10s,70.567103,+57d42m31.8s,57.708828,29.85,2.95,-2.46,11.370,0.010,1.430,0.020,M:,0.060,0.230
HD 285968,HIP 21932,HD 285968,GJ 176,2MASS J04425581+1857285,1,0,0,0,0,1,1,04h42m55.37s,70.730708,+18d57m39.2s,18.960881,9.27,0.29,-0.27,9.950,0.010,1.540,0.010,M2,0.040,0.110
HIP 21960,HIP 21960,HD 30278,,2MASS J04431369-5435362,1,0,0,0,0,0,0,04h43m13.63s,70.806806,-54d35m34.6s,-54.592944,27.34,0.28,-0.27,7.600,0.020,0.750,0.000,G8V,0.660,0.050
HIP 21988,HIP 21988,HD 29883,GJ 176.2,2MASS J04433543+2741150,1,0,0,0,0,0,0,04h43m35.40s,70.897502,+27d41m17.0s,27.688046,21.93,0.45,-0.43,8.000,0.010,0.910,0.010,K5III,0.340,0.050
HIP 22121,HIP 22121,HD 30440,,2MASS J04453909-4353497,1,0,0,0,0,0,0,04h45m38.98s,71.412411,-43d53m49.8s,-43.897164,29.29,0.60,-0.57,8.860,0.030,0.960,0.000,K3V,0.280,0.090
HIP 22122,HIP 22122,HD 30501,GJ 176.3,2MASS J04453859-5004270,1,0,0,0,0,0,0,04h45m38.99s,71.412439,-50d04m24.3s,-50.073410,20.86,0.21,-0.21,7.590,0.010,0.890,0.010,K1V,0.420,0.040
HIP 22263,HIP 22263,HD 30495,GJ 177,2MASS J04473628-1656041,1,0,1,0,0,1,0,04h47m36.21s,71.900884,-16d56m05.5s,-16.934867,13.28,,,5.490,0.020,0.630,0.010,G3V,1.010,0.100
HIP 22288,HIP 22288,HD 30523,GJ 3314,2MASS J04480112-1056009,1,0,0,0,0,0,0,04h48m01.09s,72.004553,-10d56m00.2s,-10.933381,25.89,0.80,-0.75,9.530,0.010,1.140,0.020,K4V,0.170,0.080
HD 30562,HIP 22336,HD 30562,GJ 177.1,2MASS J04483633-0540258,1,0,1,0,0,1,1,04h48m36.20s,72.150843,-05d40m24.4s,-5.673439,26.42,0.27,-0.26,5.760,0.020,0.630,0.000,G5V,3.080,0.060
