# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 15:45:56 2023
#
# COLUMN tic_id:         TIC ID
# COLUMN hip_name:       HIP ID
# COLUMN hip_compname:   HIP Component ID
# COLUMN hd_name:        HD ID
# COLUMN hr_name:        HR ID
# COLUMN gj_name:        GJ ID
# COLUMN constellation:  Constellation ID
# COLUMN hostname:       Host Name
# COLUMN sy_dist:        Distance [pc]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_plxerr:      Parallax [mas] Unc
# COLUMN sy_plx_reflink: Parallax [mas] Reference
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr:     V (Johnson) Magnitude Unc
# COLUMN sy_vmag_reflink: V (Johnson) Magnitude Reference
# COLUMN sy_bvmag:       B-V (Johnson) Color [mag]
# COLUMN sy_bvmagerr:    B-V (Johnson) Color [mag] Unc
# COLUMN sy_bvmag_reflink: B-V (Johnson) Color [mag] Reference
# COLUMN sy_rcmag:       R (Cousins) Magnitude
# COLUMN sy_rcmag_reflink: R (Cousins) Magnitude Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_spectype_reflink: Spectral Type Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr:     Stellar Effective Temperature Unc. [K]
# COLUMN st_teff_reflink: Stellar Effective Temperature [K] Reference
# COLUMN st_lum:         Stellar Luminosity [log10(Solar)]
# COLUMN st_lumerr:      Stellar Luminosity Unc. [log10(Solar)]
# COLUMN st_lum_reflink: Stellar Luminosity [log10(Solar)] Reference
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_diam:        Stellar Angular Diameter [mas]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr:      Stellar Metallicity Unc. [dex]
# COLUMN st_met_reflink: Stellar Metallicity [dex] Reference
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN st_logg_reflink: Stellar Surface Gravity [log10(cm/s**2)] Reference
# COLUMN st_log_rhk:     Stellar Ca II Chromospheric Activity Index [log R HK]
# COLUMN st_log_rhk_reflink: Stellar Ca II Chromospheric Activity Index [log R HK] Reference
# COLUMN st_eei_orbsep:  Earth Equivalent Insolation Distance [au]
# COLUMN st_eei_angsep:  Earth Equivalent Insolation Distance [mas]
# COLUMN st_etwin_bratio: Earth Equivalent Planet-Star Ratio
# COLUMN st_etwin_rcmag: Earth Equivalent R (Cousins) Magnitude
# COLUMN st_eei_orbper:  Orbital Period at EEID [days]
# COLUMN st_etwin_rvamp: Earth Equivalent Radial Velocity Amplitude [cm/s]
# COLUMN st_etwin_astamp: Earth Equivalent Astrometric Amplitude [uas]
# COLUMN wds_designation: WDS Designation
# COLUMN wds_comp:       WDS Component
# COLUMN wds_sep:        WDS Separation [arcsec]
# COLUMN wds_deltamag:   WDS Delta mag
# COLUMN sy_disks_flag:  Disks Flag
# COLUMN sy_disks_flag_reflink: Disks Flag Reference
# COLUMN sy_planets_flag: Planets Flag
# COLUMN sy_pnum:        Number of Planets
# COLUMN target_group:   Target Group
#
tic_id,hip_name,hip_compname,hd_name,hr_name,gj_name,constellation,hostname,sy_dist,ra,dec,sy_plx,sy_plxerr,sy_plx_reflink,sy_vmag,sy_vmagerr,sy_vmag_reflink,sy_bvmag,sy_bvmagerr,sy_bvmag_reflink,sy_rcmag,sy_rcmag_reflink,st_spectype,st_spectype_reflink,st_teff,st_tefferr,st_teff_reflink,st_lum,st_lumerr,st_lum_reflink,st_rad,st_diam,st_mass,st_met,st_meterr,st_met_reflink,st_logg,st_loggerr,st_logg_reflink,st_log_rhk,st_log_rhk_reflink,st_eei_orbsep,st_eei_angsep,st_etwin_bratio,st_etwin_rcmag,st_eei_orbper,st_etwin_rvamp,st_etwin_astamp,wds_designation,wds_comp,wds_sep,wds_deltamag,sy_disks_flag,sy_disks_flag_reflink,sy_planets_flag,sy_pnum,target_group
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 265488188"" target=_blank>TIC 265488188</a>",HIP 105858,,HD 203608,HR 8181,GJ 827,gam Pav,Gamma Pavonis,9.2584,321.6108541,-65.3661981,108.0102,0.1061,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.229,0.004,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.483,0.006,"<a href=""https://ui.adsabs.harvard.edu/abs/1997A&AS..124..349M/abstract"" target=_blank>1997A&AS..124..349M</a>",3.910,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",F9V Fe-1.4 CH-0.7,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",6095,24,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.1660,0.0143,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.086,1.091,1.14,-0.700,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.300,0.04,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.491,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",1.211,130.75,7.90e-11,29.17,455.6,7.66,0.344,,,,,N,,N,0,A
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 301880196"" target=_blank>TIC 301880196</a>",HIP 107350,,HD 206860,HR 8314,GJ 9751,HN Peg,HN Pegasi,18.1330,326.1305414,14.7719398,55.1480,0.0348,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.942,0.011,"<a href=""https://ui.adsabs.harvard.edu/abs/1997A&AS..124..349M/abstract"" target=_blank>1997A&AS..124..349M</a>",0.587,0.002,"<a href=""https://ui.adsabs.harvard.edu/abs/1997A&AS..124..349M/abstract"" target=_blank>1997A&AS..124..349M</a>",5.590,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",G0IV-V,"<a href=""https://ui.adsabs.harvard.edu/abs/2003AJ....126.2048G/abstract"" target=_blank>2003AJ....126.2048G</a>",5939,21,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.0552,0.0128,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.006,0.516,1.08,-0.060,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.450,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.416,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",1.066,58.77,1.02e-10,30.57,386.6,8.39,0.163,21445+1446,A,3.00,16.10,Y,"<a href=""https://ui.adsabs.harvard.edu/abs/2008ApJ...674.1086T/abstract"" target=_blank>2008ApJ...674.1086T</a>",Y,1,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 147407292"" target=_blank>TIC 147407292</a>",HIP 107649,,HD 207129,HR 8323,GJ 838,,HD 207129,15.5589,327.0656298,-47.3036161,64.2717,0.0430,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.575,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.601,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.235,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",G0VmF2,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",5935,15,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.0817,0.0125,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.039,0.621,1.08,-0.030,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.410,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.800,"<a href=""https://ui.adsabs.harvard.edu/abs/1996AJ....111..439H/abstract"" target=_blank>1996AJ....111..439H</a>",1.099,70.61,9.59e-11,30.28,404.7,8.26,0.196,21483-4718,A,79.00,3.12,Y,"<a href=""https://ui.adsabs.harvard.edu/abs/2010AJ....140.1051K/abstract"" target=_blank>2010AJ....140.1051K</a>",N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 231698181"" target=_blank>TIC 231698181</a>",HIP 108870,,HD 209100,HR 8387,GJ 845A,eps Ind,Epsilon Indi,3.6384,330.8402234,-56.7859786,274.8431,0.0956,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.674,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",1.060,0.007,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",4.065,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",K4V(k),"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",4641,21,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.6540,0.0210,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.728,1.862,0.72,-0.130,0.030,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.290,0.22,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.559,"<a href=""https://ui.adsabs.harvard.edu/abs/1996AJ....111..439H/abstract"" target=_blank>1996AJ....111..439H</a>",0.471,129.45,5.22e-10,27.27,139.1,15.46,0.540,22034-5647,A,403.10,19.17,N,,Y,1,A
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 97402436"" target=_blank>TIC 97402436</a>",HIP 109422,,HD 210302,HR 8447,GJ 9770,tau PsA,Tau Piscis Austrini,18.4579,332.5365841,-32.5484084,54.1773,0.0940,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.940,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.488,0.004,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",4.630,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",F6V,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",6364,28,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.4651,0.0157,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.405,0.708,1.25,0.100,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.200,0.04,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.911,"<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...725..875I/abstract"" target=_blank>2010ApJ...725..875I</a>",1.708,92.54,3.97e-11,30.63,729.4,6.16,0.222,,,,,N,,N,0,A
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 259291108"" target=_blank>TIC 259291108</a>",HIP 110649,A,HD 212330 A,HR 8531 A,GJ 857A,,HD 212330 A,20.3398,336.2348695,-57.7974559,49.1648,0.1075,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.318,0.002,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.665,0.012,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",4.937,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",G2IV-V,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",5660,18,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.4356,0.0116,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.717,0.785,1.02,-0.030,0.030,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.130,0.07,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-5.070,"<a href=""https://ui.adsabs.harvard.edu/abs/1996AJ....111..439H/abstract"" target=_blank>1996AJ....111..439H</a>",1.651,81.18,4.24e-11,30.87,767.3,6.94,0.239,22249-5748,A,23.60,7.68,N,,N,0,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 69889261"" target=_blank>TIC 69889261</a>",HIP 111449,A,HD 213845 A,HR 8592 A,GJ 9789A,ups Aqr A,Upsilon Aquarii A,23.0205,338.6734824,-20.7082158,43.4396,0.0828,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.210,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.442,0.004,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",4.930,estimated,F5V,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",6605,33,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",0.5383,0.0176,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.419,0.573,1.35,0.030,0.060,"<a href=""https://ui.adsabs.harvard.edu/abs/2016ApJ...826..171G/abstract"" target=_blank>2016ApJ...826..171G</a>",4.274,0.09,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",-4.512,"<a href=""https://ui.adsabs.harvard.edu/abs/2009A&A...493.1099S/abstract"" target=_blank>2009A&A...493.1099S</a>",1.859,80.73,3.35e-11,31.12,796.5,5.68,0.180,22347-2042,A,6.10,5.20,N,,N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 60716322"" target=_blank>TIC 60716322</a>",HIP 112447,A,HD 215648 A,HR 8665,GJ 872A,xi Peg A,Xi Pegasi A,16.1509,341.6732494,12.1728858,61.9161,0.1739,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.200,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.502,0.007,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",3.910,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",F6V,"<a href=""https://ui.adsabs.harvard.edu/abs/2001AJ....121.2148G/abstract"" target=_blank>2001AJ....121.2148G</a>",6193,23,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.6576,0.0155,"<a href=""https://ui.adsabs.harvard.edu/abs/2018AJ....156..102S/abstract"" target=_blank>2018AJ....156..102S</a>",1.852,1.066,1.25,-0.270,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.070,0.05,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.935,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",2.132,132.00,2.55e-11,30.40,1017.0,5.51,0.317,22467+1210,A,11.00,8.20,N,,N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 206686962"" target=_blank>TIC 206686962</a>",HIP 113283,,HD 216803,HR 8721,GJ 879,TW PsA,Fomalhaut B,7.6015,344.1002190,-31.5655640,131.5525,0.0275,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",6.446,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",1.094,0.006,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.800,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",K4Ve,"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",4601,29,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.7070,0.0169,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.697,0.853,0.72,0.040,0.030,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.680,0.10,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.349,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",0.443,58.29,5.89e-10,28.87,127.0,15.93,0.243,,,,,Y,"<a href=""https://ui.adsabs.harvard.edu/abs/2016A&A...593A..51M/abstract"" target=_blank>2016A&A...593A..51M</a>",N,0,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 155315739"" target=_blank>TIC 155315739</a>",HIP 114046,,HD 217987,,GJ 887,,Lacaille 9352,3.2871,346.4668158,-35.8530709,304.2190,0.0451,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract"" target=_blank>2018A&A...616A...1G</a>",7.330,0.004,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",1.483,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",6.360,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",M1.0V,"<a href=""https://ui.adsabs.harvard.edu/abs/2012AJ....144...64D/abstract"" target=_blank>2012AJ....144...64D</a>",3680,130,"<a href=""https://ui.adsabs.harvard.edu/abs/2005MNRAS.356..963W/abstract"" target=_blank>2005MNRAS.356..963W</a>",-1.4378,0.0235,"<a href=""https://ui.adsabs.harvard.edu/abs/2017ApJ...836...77Y/abstract"" target=_blank>2017ApJ...836...77Y</a>",0.470,1.330,0.49,-0.220,0.090,"<a href=""https://ui.adsabs.harvard.edu/abs/2005MNRAS.356..963W/abstract"" target=_blank>2005MNRAS.356..963W</a>",4.880,0.16,"<a href=""https://ui.adsabs.harvard.edu/abs/2005MNRAS.356..963W/abstract"" target=_blank>2005MNRAS.356..963W</a>",-4.828,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",0.191,58.12,3.17e-09,27.61,43.6,29.42,0.356,23059-3551,A,0.10,,N,,Y,2,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 283722336"" target=_blank>TIC 283722336</a>",HIP 114622,,HD 219134,HR 8832,GJ 892,,HD 219134,6.5418,348.3207290,57.1683566,152.8640,0.0494,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.540,0.009,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",1.000,0.000,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.030,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",K3V,"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",4874,28,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.5753,0.0081,"<a href=""https://ui.adsabs.harvard.edu/abs/2017ApJ...836...77Y/abstract"" target=_blank>2017ApJ...836...77Y</a>",0.723,1.028,0.75,0.060,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.560,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.922,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",0.516,78.82,4.35e-10,28.43,156.2,14.47,0.316,23133+5710,A,11.20,8.25,N,,Y,6,A
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 24467943"" target=_blank>TIC 24467943</a>",HIP 114924,,HD 219623,HR 8853,GJ 4324,,HD 219623,20.6102,349.1762648,53.2134748,48.5197,0.0463,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.580,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.556,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.280,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",F8V,"<a href=""https://ui.adsabs.harvard.edu/abs/2001AJ....121.2148G/abstract"" target=_blank>2001AJ....121.2148G</a>",6084,24,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.3101,0.0133,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.286,0.580,1.18,0.030,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.190,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.993,"<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...725..875I/abstract"" target=_blank>2010ApJ...725..875I</a>",1.429,69.34,5.67e-11,30.90,574.4,6.93,0.176,23167+5313,A,150.40,7.77,N,,N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 238432056"" target=_blank>TIC 238432056</a>",HIP 544,,HD 166,HR 8,GJ 5,V439 And,V439 Andromedae,13.7662,1.6532667,29.0215035,72.6419,0.0292,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",6.093,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.752,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.630,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",G8V,"<a href=""https://ui.adsabs.harvard.edu/abs/2003AJ....126.2048G/abstract"" target=_blank>2003AJ....126.2048G</a>",5491,18,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.1889,0.0104,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.889,0.601,0.94,0.110,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.550,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.384,"<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...725..875I/abstract"" target=_blank>2010ApJ...725..875I</a>",0.805,58.44,1.79e-10,30.00,271.9,10.35,0.187,00066+2901,A,10.20,12.60,Y,"<a href=""https://ui.adsabs.harvard.edu/abs/2008ApJ...674.1086T/abstract"" target=_blank>2008ApJ...674.1086T</a>",N,0,B
