id,name,base_experience,height,weight,speed,hp,attack,defense,special-attack,special-defense,forms,species,is_default,order,type1,type2,ability1,ability2,ability3
243,raikou,290,19,1780,115,90,85,75,115,100,raikou,raikou,True,337,electric,,pressure,inner-focus,
244,entei,290,21,1980,100,115,115,85,90,75,entei,entei,True,338,fire,,pressure,inner-focus,
245,suicune,290,20,1870,85,100,75,115,90,115,suicune,suicune,True,339,water,,pressure,inner-focus,
246,larvitar,60,6,720,41,50,64,50,45,50,larvitar,larvitar,True,340,rock,ground,guts,sand-veil,
247,pupitar,144,12,1520,51,70,84,70,65,70,pupitar,pupitar,True,341,rock,ground,shed-skin,,
248,tyranitar,300,20,2020,61,100,134,110,95,100,tyranitar,tyranitar,True,342,rock,dark,sand-stream,unnerve,
249,lugia,340,52,2160,110,106,90,130,90,154,lugia,lugia,True,344,psychic,flying,pressure,multiscale,
250,ho-oh,340,38,1990,90,106,130,90,110,154,ho-oh,ho-oh,True,345,fire,flying,pressure,regenerator,
251,celebi,300,6,50,100,100,100,100,100,100,celebi,celebi,True,346,psychic,grass,natural-cure,,
252,treecko,62,5,50,70,40,45,35,65,55,treecko,treecko,True,347,grass,,overgrow,unburden,
253,grovyle,142,9,216,95,50,65,45,85,65,grovyle,grovyle,True,348,grass,,overgrow,unburden,
254,sceptile,265,17,522,120,70,85,65,105,85,sceptile,sceptile,True,349,grass,,overgrow,unburden,
255,torchic,62,4,25,45,45,60,40,70,50,torchic,torchic,True,351,fire,,blaze,speed-boost,
256,combusken,142,9,195,55,60,85,60,85,60,combusken,combusken,True,352,fire,fighting,blaze,speed-boost,
257,blaziken,265,19,520,80,80,120,70,110,70,blaziken,blaziken,True,353,fire,fighting,blaze,speed-boost,
258,mudkip,62,4,76,40,50,70,50,50,50,mudkip,mudkip,True,355,water,,torrent,damp,
259,marshtomp,142,7,280,50,70,85,70,60,70,marshtomp,marshtomp,True,356,water,ground,torrent,damp,
260,swampert,268,15,819,60,100,110,90,85,90,swampert,swampert,True,357,water,ground,torrent,damp,
261,poochyena,56,5,136,35,35,55,35,30,30,poochyena,poochyena,True,359,dark,,run-away,quick-feet,rattled
262,mightyena,147,10,370,70,70,90,70,60,60,mightyena,mightyena,True,360,dark,,intimidate,quick-feet,moxie
263,zigzagoon,56,4,175,60,38,30,41,30,41,zigzagoon,zigzagoon,True,361,normal,,pickup,gluttony,quick-feet
264,linoone,147,5,325,100,78,70,61,50,61,linoone,linoone,True,363,normal,,pickup,gluttony,quick-feet
265,wurmple,56,3,36,20,45,45,35,20,30,wurmple,wurmple,True,365,bug,,shield-dust,run-away,
266,silcoon,72,6,100,15,50,35,55,25,25,silcoon,silcoon,True,366,bug,,shed-skin,,
267,beautifly,178,10,284,65,60,70,50,100,50,beautifly,beautifly,True,367,bug,flying,swarm,rivalry,
268,cascoon,72,7,115,15,50,35,55,25,25,cascoon,cascoon,True,368,bug,,shed-skin,,
269,dustox,173,12,316,65,60,50,70,50,90,dustox,dustox,True,369,bug,poison,shield-dust,compound-eyes,
270,lotad,44,5,26,30,40,30,30,40,50,lotad,lotad,True,370,water,grass,swift-swim,rain-dish,own-tempo
271,lombre,119,12,325,50,60,50,50,60,70,lombre,lombre,True,371,water,grass,swift-swim,rain-dish,own-tempo
272,ludicolo,240,15,550,70,80,70,70,90,100,ludicolo,ludicolo,True,372,water,grass,swift-swim,rain-dish,own-tempo
273,seedot,44,5,40,30,40,40,50,30,30,seedot,seedot,True,373,grass,,chlorophyll,early-bird,pickpocket
274,nuzleaf,119,10,280,60,70,70,40,60,40,nuzleaf,nuzleaf,True,374,grass,dark,chlorophyll,early-bird,pickpocket
275,shiftry,240,13,596,80,90,100,60,90,60,shiftry,shiftry,True,375,grass,dark,chlorophyll,wind-rider,pickpocket
276,taillow,54,3,23,85,40,55,30,30,30,taillow,taillow,True,376,normal,flying,guts,scrappy,
277,swellow,159,7,198,125,60,85,60,75,50,swellow,swellow,True,377,normal,flying,guts,scrappy,
278,wingull,54,6,95,85,40,30,30,55,30,wingull,wingull,True,378,water,flying,keen-eye,hydration,rain-dish
279,pelipper,154,12,280,65,60,50,100,95,70,pelipper,pelipper,True,379,water,flying,keen-eye,drizzle,rain-dish
280,ralts,40,4,66,40,28,25,25,45,35,ralts,ralts,True,380,psychic,fairy,synchronize,trace,telepathy
281,kirlia,97,8,202,50,38,35,35,65,55,kirlia,kirlia,True,381,psychic,fairy,synchronize,trace,telepathy
282,gardevoir,259,16,484,80,68,65,65,125,115,gardevoir,gardevoir,True,382,psychic,fairy,synchronize,trace,telepathy
283,surskit,54,5,17,65,40,30,32,50,52,surskit,surskit,True,386,bug,water,swift-swim,rain-dish,
284,masquerain,159,8,36,80,70,60,62,100,82,masquerain,masquerain,True,387,bug,flying,intimidate,unnerve,
285,shroomish,59,4,45,35,60,40,60,40,60,shroomish,shroomish,True,388,grass,,effect-spore,poison-heal,quick-feet
286,breloom,161,12,392,70,60,130,80,60,60,breloom,breloom,True,389,grass,fighting,effect-spore,poison-heal,technician
287,slakoth,56,8,240,30,60,60,60,35,35,slakoth,slakoth,True,390,normal,,truant,,
288,vigoroth,154,14,465,90,80,80,80,55,55,vigoroth,vigoroth,True,391,normal,,vital-spirit,,
289,slaking,252,20,1305,100,150,160,100,95,65,slaking,slaking,True,392,normal,,truant,,
290,nincada,53,5,55,40,31,45,90,30,30,nincada,nincada,True,393,bug,ground,compound-eyes,run-away,
291,ninjask,160,8,120,160,61,90,45,50,50,ninjask,ninjask,True,394,bug,flying,speed-boost,infiltrator,
292,shedinja,83,8,12,40,1,90,45,30,30,shedinja,shedinja,True,395,bug,ghost,wonder-guard,,
293,whismur,48,6,163,28,64,51,23,51,23,whismur,whismur,True,396,normal,,soundproof,rattled,
294,loudred,126,10,405,48,84,71,43,71,43,loudred,loudred,True,397,normal,,soundproof,scrappy,
295,exploud,245,15,840,68,104,91,63,91,73,exploud,exploud,True,398,normal,,soundproof,scrappy,
296,makuhita,47,10,864,25,72,60,30,20,30,makuhita,makuhita,True,399,fighting,,thick-fat,guts,sheer-force
297,hariyama,166,23,2538,50,144,120,60,40,60,hariyama,hariyama,True,400,fighting,,thick-fat,guts,sheer-force
298,azurill,38,2,20,20,50,20,40,20,40,azurill,azurill,True,277,normal,fairy,thick-fat,huge-power,sap-sipper
299,nosepass,75,10,970,30,30,45,135,45,90,nosepass,nosepass,True,401,rock,,sturdy,magnet-pull,sand-force
300,skitty,52,6,110,50,50,45,45,35,35,skitty,skitty,True,403,normal,,cute-charm,normalize,wonder-skin
301,delcatty,140,11,326,90,70,65,65,55,55,delcatty,delcatty,True,404,normal,,cute-charm,normalize,wonder-skin
302,sableye,133,5,110,50,50,75,75,65,65,sableye,sableye,True,405,dark,ghost,keen-eye,stall,prankster
303,mawile,133,6,115,50,50,85,85,55,55,mawile,mawile,True,407,steel,fairy,hyper-cutter,intimidate,sheer-force
304,aron,66,4,600,30,50,70,100,40,40,aron,aron,True,409,steel,rock,sturdy,rock-head,heavy-metal
305,lairon,151,9,1200,40,60,90,140,50,50,lairon,lairon,True,410,steel,rock,sturdy,rock-head,heavy-metal
306,aggron,265,21,3600,50,70,110,180,60,60,aggron,aggron,True,411,steel,rock,sturdy,rock-head,heavy-metal
307,meditite,56,6,112,60,30,40,55,40,55,meditite,meditite,True,413,fighting,psychic,pure-power,telepathy,
308,medicham,144,13,315,80,60,60,75,60,75,medicham,medicham,True,414,fighting,psychic,pure-power,telepathy,
309,electrike,59,6,152,65,40,45,40,65,40,electrike,electrike,True,416,electric,,static,lightning-rod,minus
310,manectric,166,15,402,105,70,75,60,105,60,manectric,manectric,True,417,electric,,static,lightning-rod,minus
311,plusle,142,4,42,95,60,50,40,85,75,plusle,plusle,True,419,electric,,plus,lightning-rod,
312,minun,142,4,42,95,60,40,50,75,85,minun,minun,True,420,electric,,minus,volt-absorb,
313,volbeat,151,7,177,85,65,73,75,47,85,volbeat,volbeat,True,421,bug,,illuminate,swarm,prankster
314,illumise,151,6,177,85,65,47,75,73,85,illumise,illumise,True,422,bug,,oblivious,tinted-lens,prankster
315,roselia,140,3,20,65,50,60,45,100,80,roselia,roselia,True,424,grass,poison,natural-cure,poison-point,leaf-guard
316,gulpin,60,4,103,40,70,43,53,43,53,gulpin,gulpin,True,426,poison,,liquid-ooze,sticky-hold,gluttony
317,swalot,163,17,800,55,100,73,83,73,83,swalot,swalot,True,427,poison,,liquid-ooze,sticky-hold,gluttony
318,carvanha,61,8,208,65,45,90,20,65,20,carvanha,carvanha,True,428,water,dark,rough-skin,speed-boost,
319,sharpedo,161,18,888,95,70,120,40,95,40,sharpedo,sharpedo,True,429,water,dark,rough-skin,speed-boost,
320,wailmer,80,20,1300,60,130,70,35,70,35,wailmer,wailmer,True,431,water,,water-veil,oblivious,pressure
321,wailord,175,145,3980,60,170,90,45,90,45,wailord,wailord,True,432,water,,water-veil,oblivious,pressure
322,numel,61,7,240,35,60,60,40,65,45,numel,numel,True,433,fire,ground,oblivious,simple,own-tempo
323,camerupt,161,19,2200,40,70,100,70,105,75,camerupt,camerupt,True,434,fire,ground,magma-armor,solid-rock,anger-point
324,torkoal,165,5,804,20,70,85,140,85,70,torkoal,torkoal,True,436,fire,,white-smoke,drought,shell-armor
325,spoink,66,7,306,60,60,25,35,70,80,spoink,spoink,True,437,psychic,,thick-fat,own-tempo,gluttony
326,grumpig,165,9,715,80,80,45,65,90,110,grumpig,grumpig,True,438,psychic,,thick-fat,own-tempo,gluttony
327,spinda,126,11,50,60,60,60,60,60,60,spinda,spinda,True,439,normal,,own-tempo,tangled-feet,contrary
328,trapinch,58,7,150,10,45,100,45,45,45,trapinch,trapinch,True,440,ground,,hyper-cutter,arena-trap,sheer-force
329,vibrava,119,11,153,70,50,70,50,50,50,vibrava,vibrava,True,441,ground,dragon,levitate,,
330,flygon,260,20,820,100,80,100,80,80,80,flygon,flygon,True,442,ground,dragon,levitate,,
331,cacnea,67,4,513,35,50,85,40,85,40,cacnea,cacnea,True,443,grass,,sand-veil,water-absorb,
332,cacturne,166,13,774,55,70,115,60,115,60,cacturne,cacturne,True,444,grass,dark,sand-veil,water-absorb,
333,swablu,62,4,12,50,45,40,60,40,75,swablu,swablu,True,445,normal,flying,natural-cure,cloud-nine,
334,altaria,172,11,206,80,75,70,90,70,105,altaria,altaria,True,446,dragon,flying,natural-cure,cloud-nine,
335,zangoose,160,13,403,90,73,115,60,60,60,zangoose,zangoose,True,448,normal,,immunity,toxic-boost,
336,seviper,160,27,525,65,73,100,60,100,60,seviper,seviper,True,449,poison,,shed-skin,infiltrator,
337,lunatone,161,10,1680,70,90,55,65,95,85,lunatone,lunatone,True,450,rock,psychic,levitate,,
338,solrock,161,12,1540,70,90,95,85,55,65,solrock,solrock,True,451,rock,psychic,levitate,,
339,barboach,58,4,19,60,50,48,43,46,41,barboach,barboach,True,452,water,ground,oblivious,anticipation,hydration
340,whiscash,164,9,236,60,110,78,73,76,71,whiscash,whiscash,True,453,water,ground,oblivious,anticipation,hydration
341,corphish,62,6,115,35,43,80,65,50,35,corphish,corphish,True,454,water,,hyper-cutter,shell-armor,adaptability
342,crawdaunt,164,11,328,55,63,120,85,90,55,crawdaunt,crawdaunt,True,455,water,dark,hyper-cutter,shell-armor,adaptability
343,baltoy,60,5,215,55,40,40,55,40,70,baltoy,baltoy,True,456,ground,psychic,levitate,,
344,claydol,175,15,1080,75,60,70,105,70,120,claydol,claydol,True,457,ground,psychic,levitate,,
345,lileep,71,10,238,23,66,41,77,61,87,lileep,lileep,True,458,rock,grass,suction-cups,storm-drain,
346,cradily,173,15,604,43,86,81,97,81,107,cradily,cradily,True,459,rock,grass,suction-cups,storm-drain,
347,anorith,71,7,125,75,45,95,50,40,50,anorith,anorith,True,460,rock,bug,battle-armor,swift-swim,
348,armaldo,173,15,682,45,75,125,100,70,80,armaldo,armaldo,True,461,rock,bug,battle-armor,swift-swim,
349,feebas,40,6,74,80,20,15,20,10,55,feebas,feebas,True,462,water,,swift-swim,oblivious,adaptability
350,milotic,189,62,1620,81,95,60,79,100,125,milotic,milotic,True,463,water,,marvel-scale,competitive,cute-charm
351,castform,147,3,8,70,70,70,70,70,70,castform,castform,True,464,normal,,forecast,,
352,kecleon,154,10,220,40,60,90,70,60,120,kecleon,kecleon,True,468,normal,,color-change,protean,
353,shuppet,59,6,23,45,44,75,35,63,33,shuppet,shuppet,True,469,ghost,,insomnia,frisk,cursed-body
354,banette,159,11,125,65,64,115,65,83,63,banette,banette,True,470,ghost,,insomnia,frisk,cursed-body
355,duskull,59,8,150,25,20,40,90,30,90,duskull,duskull,True,472,ghost,,levitate,frisk,
356,dusclops,159,16,306,25,40,70,130,60,130,dusclops,dusclops,True,473,ghost,,pressure,frisk,
357,tropius,161,20,1000,51,99,68,83,72,87,tropius,tropius,True,475,grass,flying,chlorophyll,solar-power,harvest
358,chimecho,159,6,10,65,75,50,80,95,90,chimecho,chimecho,True,477,psychic,,levitate,,
359,absol,163,12,470,75,65,130,60,75,60,absol,absol,True,478,dark,,pressure,super-luck,justified
360,wynaut,52,6,140,23,95,23,48,23,48,wynaut,wynaut,True,298,psychic,,shadow-tag,telepathy,
361,snorunt,60,7,168,50,50,50,50,50,50,snorunt,snorunt,True,480,ice,,inner-focus,ice-body,moody
362,glalie,168,15,2565,80,80,80,80,80,80,glalie,glalie,True,481,ice,,inner-focus,ice-body,moody
363,spheal,58,8,395,25,70,40,50,55,50,spheal,spheal,True,484,ice,water,thick-fat,ice-body,oblivious
364,sealeo,144,11,876,45,90,60,70,75,70,sealeo,sealeo,True,485,ice,water,thick-fat,ice-body,oblivious
365,walrein,265,14,1506,65,110,80,90,95,90,walrein,walrein,True,486,ice,water,thick-fat,ice-body,oblivious
366,clamperl,69,4,525,32,35,64,85,74,55,clamperl,clamperl,True,487,water,,shell-armor,rattled,
367,huntail,170,17,270,52,55,104,105,94,75,huntail,huntail,True,488,water,,swift-swim,water-veil,
368,gorebyss,170,18,226,52,55,84,105,114,75,gorebyss,gorebyss,True,489,water,,swift-swim,hydration,
369,relicanth,170,10,234,55,100,90,130,45,65,relicanth,relicanth,True,490,water,rock,swift-swim,rock-head,sturdy
370,luvdisc,116,6,87,97,43,30,55,40,65,luvdisc,luvdisc,True,491,water,,swift-swim,hydration,
371,bagon,60,6,421,50,45,75,60,40,30,bagon,bagon,True,492,dragon,,rock-head,sheer-force,
372,shelgon,147,11,1105,50,65,95,100,60,50,shelgon,shelgon,True,493,dragon,,rock-head,overcoat,
373,salamence,300,15,1026,100,95,135,80,110,80,salamence,salamence,True,494,dragon,flying,intimidate,moxie,
374,beldum,60,6,952,30,40,55,80,35,60,beldum,beldum,True,496,steel,psychic,clear-body,light-metal,
375,metang,147,12,2025,50,60,75,100,55,80,metang,metang,True,497,steel,psychic,clear-body,light-metal,
376,metagross,300,16,5500,70,80,135,130,95,90,metagross,metagross,True,498,steel,psychic,clear-body,light-metal,
377,regirock,290,17,2300,50,80,100,200,50,100,regirock,regirock,True,500,rock,,clear-body,sturdy,
378,regice,290,18,1750,50,80,50,100,100,200,regice,regice,True,501,ice,,clear-body,ice-body,
379,registeel,290,19,2050,50,80,75,150,75,150,registeel,registeel,True,502,steel,,clear-body,light-metal,
380,latias,300,14,400,110,80,80,90,110,130,latias,latias,True,503,dragon,psychic,levitate,,
381,latios,300,20,600,110,80,90,80,130,110,latios,latios,True,505,dragon,psychic,levitate,,
382,kyogre,335,45,3520,90,100,100,90,150,140,kyogre,kyogre,True,507,water,,drizzle,,
383,groudon,335,35,9500,90,100,150,140,100,90,groudon,groudon,True,509,ground,,drought,,
384,rayquaza,340,70,2065,95,105,150,90,150,90,rayquaza,rayquaza,True,511,dragon,flying,air-lock,,
385,jirachi,300,3,11,100,100,100,100,100,100,jirachi,jirachi,True,513,steel,psychic,serene-grace,,
386,deoxys-normal,270,17,608,150,50,150,50,150,50,deoxys-normal,deoxys,True,514,psychic,,pressure,,
387,turtwig,64,4,102,31,55,68,64,45,55,turtwig,turtwig,True,518,grass,,overgrow,shell-armor,
388,grotle,142,11,970,36,75,89,85,55,65,grotle,grotle,True,519,grass,,overgrow,shell-armor,
389,torterra,236,22,3100,56,95,109,105,75,85,torterra,torterra,True,520,grass,ground,overgrow,shell-armor,
390,chimchar,62,5,62,61,44,58,44,58,44,chimchar,chimchar,True,521,fire,,blaze,iron-fist,
391,monferno,142,9,220,81,64,78,52,78,52,monferno,monferno,True,522,fire,fighting,blaze,iron-fist,
392,infernape,240,12,550,108,76,104,71,104,71,infernape,infernape,True,523,fire,fighting,blaze,iron-fist,
393,piplup,63,4,52,40,53,51,53,61,56,piplup,piplup,True,524,water,,torrent,competitive,
394,prinplup,142,8,230,50,64,66,68,81,76,prinplup,prinplup,True,525,water,,torrent,competitive,
395,empoleon,239,17,845,60,84,86,88,111,101,empoleon,empoleon,True,526,water,steel,torrent,competitive,
396,starly,49,3,20,60,40,55,30,30,30,starly,starly,True,527,normal,flying,keen-eye,reckless,
397,staravia,119,6,155,80,55,75,50,40,40,staravia,staravia,True,528,normal,flying,intimidate,reckless,
398,staraptor,218,12,249,100,85,120,70,50,60,staraptor,staraptor,True,529,normal,flying,intimidate,reckless,
399,bidoof,50,5,200,31,59,45,40,35,40,bidoof,bidoof,True,530,normal,,simple,unaware,moody
400,bibarel,144,10,315,71,79,85,60,55,60,bibarel,bibarel,True,531,normal,water,simple,unaware,moody
401,kricketot,39,3,22,25,37,25,41,25,41,kricketot,kricketot,True,532,bug,,shed-skin,run-away,
402,kricketune,134,10,255,65,77,85,51,55,51,kricketune,kricketune,True,533,bug,,swarm,technician,
403,shinx,53,5,95,45,45,65,34,40,34,shinx,shinx,True,534,electric,,rivalry,intimidate,guts
404,luxio,127,9,305,60,60,85,49,60,49,luxio,luxio,True,535,electric,,rivalry,intimidate,guts
405,luxray,262,14,420,70,80,120,79,95,79,luxray,luxray,True,536,electric,,rivalry,intimidate,guts
406,budew,56,2,12,55,40,30,35,50,70,budew,budew,True,423,grass,poison,natural-cure,poison-point,leaf-guard
407,roserade,258,9,145,90,60,70,65,125,105,roserade,roserade,True,425,grass,poison,natural-cure,poison-point,technician
408,cranidos,70,9,315,58,67,125,40,30,30,cranidos,cranidos,True,537,rock,,mold-breaker,sheer-force,
409,rampardos,173,16,1025,58,97,165,60,65,50,rampardos,rampardos,True,538,rock,,mold-breaker,sheer-force,
410,shieldon,70,5,570,30,30,42,118,42,88,shieldon,shieldon,True,539,rock,steel,sturdy,soundproof,
411,bastiodon,173,13,1495,30,60,52,168,47,138,bastiodon,bastiodon,True,540,rock,steel,sturdy,soundproof,
412,burmy,45,2,34,36,40,29,45,29,45,burmy-plant,burmy,True,541,bug,,shed-skin,overcoat,
413,wormadam-plant,148,5,65,36,60,59,85,79,105,wormadam-plant,wormadam,True,542,bug,grass,anticipation,overcoat,
414,mothim,148,9,233,66,70,94,50,94,50,mothim-plant,mothim,True,545,bug,flying,swarm,tinted-lens,
415,combee,49,3,55,70,30,30,42,30,42,combee,combee,True,546,bug,flying,honey-gather,hustle,
416,vespiquen,166,12,385,40,70,80,102,80,102,vespiquen,vespiquen,True,547,bug,flying,pressure,unnerve,
417,pachirisu,142,4,39,95,60,45,70,45,90,pachirisu,pachirisu,True,548,electric,,run-away,pickup,volt-absorb
418,buizel,66,7,295,85,55,65,35,60,30,buizel,buizel,True,549,water,,swift-swim,water-veil,
419,floatzel,173,11,335,115,85,105,55,85,50,floatzel,floatzel,True,550,water,,swift-swim,water-veil,
420,cherubi,55,4,33,35,45,35,45,62,53,cherubi,cherubi,True,551,grass,,chlorophyll,,
421,cherrim,158,5,93,85,70,60,70,87,78,cherrim-overcast,cherrim,True,552,grass,,flower-gift,,
422,shellos,65,3,63,34,76,48,48,57,62,shellos-west,shellos,True,553,water,,sticky-hold,storm-drain,sand-force
423,gastrodon,166,9,299,39,111,83,68,92,82,gastrodon-west,gastrodon,True,554,water,ground,sticky-hold,storm-drain,sand-force
424,ambipom,169,12,203,115,75,100,66,60,66,ambipom,ambipom,True,286,normal,,technician,pickup,skill-link
425,drifloon,70,4,12,70,90,50,34,60,44,drifloon,drifloon,True,555,ghost,flying,aftermath,unburden,flare-boost
426,drifblim,174,12,150,80,150,80,44,90,54,drifblim,drifblim,True,556,ghost,flying,aftermath,unburden,flare-boost
427,buneary,70,4,55,85,55,66,44,44,56,buneary,buneary,True,557,normal,,run-away,klutz,limber
428,lopunny,168,12,333,105,65,76,84,54,96,lopunny,lopunny,True,558,normal,,cute-charm,klutz,limber
429,mismagius,173,9,44,105,60,60,60,105,105,mismagius,mismagius,True,296,ghost,,levitate,,
430,honchkrow,177,9,273,71,100,125,52,105,52,honchkrow,honchkrow,True,294,dark,flying,insomnia,super-luck,moxie
431,glameow,62,5,39,85,49,55,42,42,37,glameow,glameow,True,560,normal,,limber,own-tempo,keen-eye
432,purugly,158,10,438,112,71,82,64,64,59,purugly,purugly,True,561,normal,,thick-fat,own-tempo,defiant
433,chingling,57,2,6,45,45,30,50,65,50,chingling,chingling,True,476,psychic,,levitate,,
434,stunky,66,4,192,74,63,63,47,41,41,stunky,stunky,True,562,poison,dark,stench,aftermath,keen-eye
435,skuntank,168,10,380,84,103,93,67,71,61,skuntank,skuntank,True,563,poison,dark,stench,aftermath,keen-eye
436,bronzor,60,5,605,23,57,24,86,24,86,bronzor,bronzor,True,564,steel,psychic,levitate,heatproof,heavy-metal
437,bronzong,175,13,1870,33,67,89,116,79,116,bronzong,bronzong,True,565,steel,psychic,levitate,heatproof,heavy-metal
438,bonsly,58,5,150,10,50,80,95,10,45,bonsly,bonsly,True,280,rock,,sturdy,rock-head,rattled
439,mime-jr,62,6,130,60,20,25,45,70,90,mime-jr,mime-jr,True,193,psychic,fairy,soundproof,filter,technician
440,happiny,110,6,244,30,100,5,5,15,65,happiny,happiny,True,179,normal,,natural-cure,serene-grace,friend-guard
441,chatot,144,5,19,91,76,65,45,92,42,chatot,chatot,True,566,normal,flying,keen-eye,tangled-feet,big-pecks
442,spiritomb,170,10,1080,35,50,92,108,92,108,spiritomb,spiritomb,True,567,ghost,dark,pressure,infiltrator,
443,gible,60,7,205,42,58,70,45,40,45,gible,gible,True,568,dragon,ground,sand-veil,rough-skin,
444,gabite,144,14,560,82,68,90,65,50,55,gabite,gabite,True,569,dragon,ground,sand-veil,rough-skin,
445,garchomp,300,19,950,102,108,130,95,80,85,garchomp,garchomp,True,570,dragon,ground,sand-veil,rough-skin,
446,munchlax,78,6,1050,5,135,85,40,40,85,munchlax,munchlax,True,234,normal,,pickup,thick-fat,gluttony
447,riolu,57,7,202,60,40,70,40,35,40,riolu,riolu,True,572,fighting,,steadfast,inner-focus,prankster
448,lucario,184,12,540,90,70,110,70,115,70,lucario,lucario,True,573,fighting,steel,steadfast,inner-focus,justified
449,hippopotas,66,8,495,32,68,72,78,38,42,hippopotas,hippopotas,True,575,ground,,sand-stream,sand-force,
450,hippowdon,184,20,3000,47,108,112,118,68,72,hippowdon,hippowdon,True,576,ground,,sand-stream,sand-force,
451,skorupi,66,8,120,65,40,50,90,30,55,skorupi,skorupi,True,577,poison,bug,battle-armor,sniper,keen-eye
452,drapion,175,13,615,95,70,90,110,60,75,drapion,drapion,True,578,poison,dark,battle-armor,sniper,keen-eye
453,croagunk,60,7,230,50,48,61,40,61,40,croagunk,croagunk,True,579,poison,fighting,anticipation,dry-skin,poison-touch
454,toxicroak,172,13,444,85,83,106,65,86,65,toxicroak,toxicroak,True,580,poison,fighting,anticipation,dry-skin,poison-touch
455,carnivine,159,14,270,46,74,100,72,90,72,carnivine,carnivine,True,581,grass,,levitate,,
456,finneon,66,4,70,66,49,49,56,49,61,finneon,finneon,True,582,water,,swift-swim,storm-drain,water-veil
457,lumineon,161,12,240,91,69,69,76,69,86,lumineon,lumineon,True,583,water,,swift-swim,storm-drain,water-veil
458,mantyke,69,10,650,50,45,20,50,60,120,mantyke,mantyke,True,326,water,flying,swift-swim,water-absorb,water-veil
459,snover,67,10,505,40,60,62,50,62,60,snover,snover,True,584,grass,ice,snow-warning,soundproof,
460,abomasnow,173,22,1355,60,90,92,75,92,85,abomasnow,abomasnow,True,585,grass,ice,snow-warning,soundproof,
461,weavile,179,11,340,125,70,120,65,45,85,weavile,weavile,True,313,dark,ice,pressure,pickpocket,
462,magnezone,268,12,1800,60,70,70,115,130,90,magnezone,magnezone,True,134,electric,steel,magnet-pull,sturdy,analytic
463,lickilicky,180,17,1400,50,110,85,95,80,95,lickilicky,lickilicky,True,172,normal,,own-tempo,oblivious,cloud-nine
464,rhyperior,268,24,2828,40,115,140,130,55,55,rhyperior,rhyperior,True,178,ground,rock,lightning-rod,solid-rock,reckless
465,tangrowth,187,20,1286,50,100,100,125,110,50,tangrowth,tangrowth,True,183,grass,,chlorophyll,leaf-guard,regenerator
466,electivire,270,18,1386,95,75,123,67,95,85,electivire,electivire,True,203,electric,,motor-drive,vital-spirit,
467,magmortar,270,16,680,83,75,95,67,125,95,magmortar,magmortar,True,206,fire,,flame-body,vital-spirit,
468,togekiss,273,15,380,80,85,50,95,120,115,togekiss,togekiss,True,270,fairy,flying,hustle,serene-grace,super-luck
469,yanmega,180,19,515,95,86,76,86,116,56,yanmega,yanmega,True,290,bug,flying,speed-boost,tinted-lens,frisk
470,leafeon,184,10,255,95,65,110,130,60,65,leafeon,leafeon,True,222,grass,,leaf-guard,chlorophyll,
471,glaceon,184,8,259,65,65,60,110,130,95,glaceon,glaceon,True,223,ice,,snow-cloak,ice-body,
472,gliscor,179,20,425,95,75,95,125,45,75,gliscor,gliscor,True,305,ground,flying,hyper-cutter,sand-veil,poison-heal
473,mamoswine,265,25,2910,80,110,130,80,70,60,mamoswine,mamoswine,True,320,ice,ground,oblivious,snow-cloak,thick-fat
474,porygon-z,268,9,340,90,85,80,70,135,75,porygon-z,porygon-z,True,227,normal,,adaptability,download,analytic
475,gallade,259,16,520,80,68,125,65,65,115,gallade,gallade,True,384,psychic,fighting,steadfast,sharpness,justified
476,probopass,184,14,3400,40,60,55,145,75,150,probopass,probopass,True,402,rock,steel,sturdy,magnet-pull,sand-force
477,dusknoir,263,22,1066,45,45,100,135,65,135,dusknoir,dusknoir,True,474,ghost,,pressure,frisk,
478,froslass,168,13,266,110,70,80,70,80,70,froslass,froslass,True,483,ice,ghost,snow-cloak,cursed-body,
479,rotom,154,3,3,91,50,50,77,95,77,rotom,rotom,True,587,electric,ghost,levitate,,
480,uxie,290,3,3,95,75,75,130,75,130,uxie,uxie,True,593,psychic,,levitate,,
481,mesprit,290,3,3,80,80,105,105,105,105,mesprit,mesprit,True,594,psychic,,levitate,,
482,azelf,290,3,3,115,75,125,70,125,70,azelf,azelf,True,595,psychic,,levitate,,
483,dialga,340,54,6830,90,100,120,120,150,100,dialga,dialga,True,596,steel,dragon,pressure,telepathy,
484,palkia,340,42,3360,100,90,120,100,150,120,palkia,palkia,True,597,water,dragon,pressure,telepathy,
485,heatran,300,17,4300,77,91,90,106,130,106,heatran,heatran,True,598,fire,steel,flash-fire,flame-body,
486,regigigas,335,37,4200,100,110,160,110,80,110,regigigas,regigigas,True,599,normal,,slow-start,,
487,giratina-altered,340,45,7500,90,150,100,120,100,120,giratina-altered,giratina,True,600,ghost,dragon,pressure,telepathy,
488,cresselia,300,15,856,85,120,70,110,75,120,cresselia,cresselia,True,602,psychic,,levitate,,
489,phione,216,4,31,80,80,80,80,80,80,phione,phione,True,603,water,,hydration,,
490,manaphy,270,3,14,100,100,100,100,100,100,manaphy,manaphy,True,604,water,,hydration,,
491,darkrai,270,15,505,125,70,90,90,135,90,darkrai,darkrai,True,605,dark,,bad-dreams,,
492,shaymin-land,270,2,21,100,100,100,100,100,100,shaymin-land,shaymin,True,606,grass,,natural-cure,,
