champ,description_question,variable_reponse,description_reponse,,,,,,
Q22r98,Q22r98: Je ne sais pas - Comment avez-vous fait pour chercher votre travail actuel?,0,NO TO: Je ne sais pas,,,,,,
Q22r98,Q22r98: Je ne sais pas - Comment avez-vous fait pour chercher votre travail actuel?,1,Je ne sais pas,,,,,,
Q22r99,Q22r99: Je préfère ne pas répondre - Comment avez-vous fait pour chercher votre travail actuel?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q22r99,Q22r99: Je préfère ne pas répondre - Comment avez-vous fait pour chercher votre travail actuel?,1,Je préfère ne pas répondre,,,,,,
Q23r1,Q23r1: Difficultés linguistiques - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Difficultés linguistiques,,,,,,
Q23r1,Q23r1: Difficultés linguistiques - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Difficultés linguistiques,,,,,,
Q23r2,Q23r2: Manque d’information sur le marché de l’emploi - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Manque d’information sur le marché de l’emploi,,,,,,
Q23r2,Q23r2: Manque d’information sur le marché de l’emploi - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Manque d’information sur le marché de l’emploi,,,,,,
Q23r3,Q23r3: Pas assez d’emplois disponibles - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Pas assez d’emplois disponibles,,,,,,
Q23r3,Q23r3: Pas assez d’emplois disponibles - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Pas assez d’emplois disponibles,,,,,,
Q23r4,Q23r4: Difficultés liées aux transports - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Difficultés liées aux transports,,,,,,
Q23r4,Q23r4: Difficultés liées aux transports - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Difficultés liées aux transports,,,,,,
Q23r5,"Q23r5: Compétences, expériences de travail ou qualifications obtenues à l'extérieur du Canada non reconnues - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?",0,"NO TO: Compétences, expériences de travail ou qualifications obtenues à l'extérieur du Canada non reconnues",,,,,,
Q23r5,"Q23r5: Compétences, expériences de travail ou qualifications obtenues à l'extérieur du Canada non reconnues - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?",1,"Compétences, expériences de travail ou qualifications obtenues à l'extérieur du Canada non reconnues",,,,,,
Q23r6,Q23r6: Exigence de la part d’un employeur d’une expérience au Canada ou au Québec - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Exigence de la part d’un employeur d’une expérience au Canada ou au Québec,,,,,,
Q23r6,Q23r6: Exigence de la part d’un employeur d’une expérience au Canada ou au Québec - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Exigence de la part d’un employeur d’une expérience au Canada ou au Québec,,,,,,
Q23r7,Q23r7: Difficulté de concilier famille et travail - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Difficulté de concilier famille et travail,,,,,,
Q23r7,Q23r7: Difficulté de concilier famille et travail - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Difficulté de concilier famille et travail,,,,,,
Q23r8,Q23r8: Pas assez de contacts (réseaux professionnels) sur le marché de l'emploi - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Pas assez de contacts (réseaux professionnels) sur le marché de l'emploi,,,,,,
Q23r8,Q23r8: Pas assez de contacts (réseaux professionnels) sur le marché de l'emploi - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Pas assez de contacts (réseaux professionnels) sur le marché de l'emploi,,,,,,
Q23r9,Q23r9: Discrimination - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Discrimination,,,,,,
Q23r9,Q23r9: Discrimination - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Discrimination,,,,,,
Q23r96,Q23r96: Autre (PRÉCISER) - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Autre (PRÉCISER),,,,,,
Q23r96,Q23r96: Autre (PRÉCISER) - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Autre (PRÉCISER),,,,,,
Q23r97,Q23r97: Je n’ai rencontré aucun problème - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Je n’ai rencontré aucun problème,,,,,,
Q23r97,Q23r97: Je n’ai rencontré aucun problème - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Je n’ai rencontré aucun problème,,,,,,
Q23r98,Q23r98: Je ne sais pas - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Je ne sais pas,,,,,,
Q23r98,Q23r98: Je ne sais pas - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Je ne sais pas,,,,,,
Q23r99,Q23r99: Je préfère ne pas répondre - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q23r99,Q23r99: Je préfère ne pas répondre - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre emploi actuel?,1,Je préfère ne pas répondre,,,,,,
Q24r1,Q24r1: N’a pas eu à créer son entreprise - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: N’a pas eu à créer son entreprise,,,,,,
Q24r1,Q24r1: N’a pas eu à créer son entreprise - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,N’a pas eu à créer son entreprise,,,,,,
Q24r2,Q24r2: Complexité des démarches - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Complexité des démarches,,,,,,
Q24r2,Q24r2: Complexité des démarches - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Complexité des démarches,,,,,,
Q24r3,Q24r3: Difficultés linguistiques - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Difficultés linguistiques,,,,,,
Q24r3,Q24r3: Difficultés linguistiques - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Difficultés linguistiques,,,,,,
Q24r4,Q24r4: Manque d’information sur les programmes d’aide à l’entreprenariat - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Manque d’information sur les programmes d’aide à l’entreprenariat,,,,,,
Q24r4,Q24r4: Manque d’information sur les programmes d’aide à l’entreprenariat - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Manque d’information sur les programmes d’aide à l’entreprenariat,,,,,,
Q24r5,Q24r5: Accès au financement ou au crédit - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Accès au financement ou au crédit,,,,,,
Q24r5,Q24r5: Accès au financement ou au crédit - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Accès au financement ou au crédit,,,,,,
Q24r6,Q24r6: Difficulté de concilier famille et travail - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Difficulté de concilier famille et travail,,,,,,
Q24r6,Q24r6: Difficulté de concilier famille et travail - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Difficulté de concilier famille et travail,,,,,,
Q24r7,Q24r7: Pas assez de contacts - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Pas assez de contacts,,,,,,
Q24r7,Q24r7: Pas assez de contacts - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Pas assez de contacts,,,,,,
Q24r8,Q24r8: Discrimination - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Discrimination,,,,,,
Q24r8,Q24r8: Discrimination - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Discrimination,,,,,,
Q24r96,Q24r96: Autre (PRÉCISER) - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Autre (PRÉCISER),,,,,,
Q24r96,Q24r96: Autre (PRÉCISER) - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Autre (PRÉCISER),,,,,,
Q24r97,Q24r97: Je n’ai rencontré aucun problème - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Je n’ai rencontré aucun problème,,,,,,
Q24r97,Q24r97: Je n’ai rencontré aucun problème - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Je n’ai rencontré aucun problème,,,,,,
Q24r98,Q24r98: Je ne sais pas - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Je ne sais pas,,,,,,
Q24r98,Q24r98: Je ne sais pas - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Je ne sais pas,,,,,,
Q24r99,Q24r99: Je préfère ne pas répondre - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q24r99,Q24r99: Je préfère ne pas répondre - Quel(s) problème(s) ou difficulté(s) avez-vous connu pour créer votre entreprise ou votre activité autonome?,1,Je préfère ne pas répondre,,,,,,
Q25,Q25: Votre emploi actuel correspond-il à votre domaine d’études ou professionnel?,1,Oui,,,,,,
Q25,Q25: Votre emploi actuel correspond-il à votre domaine d’études ou professionnel?,2,Non,,,,,,
Q25,Q25: Votre emploi actuel correspond-il à votre domaine d’études ou professionnel?,8,Je ne sais pas,,,,,,
Q25,Q25: Votre emploi actuel correspond-il à votre domaine d’études ou professionnel?,9,Je préfère ne pas répondre,,,,,,
Q26,Q26: Vous avez indiqué occuper un emploi qui ne correspond pas à votre domaine d’études ou professionnel.Est-ce par choix?,1,Oui,,,,,,
Q26,Q26: Vous avez indiqué occuper un emploi qui ne correspond pas à votre domaine d’études ou professionnel.Est-ce par choix?,2,Non,,,,,,
Q26,Q26: Vous avez indiqué occuper un emploi qui ne correspond pas à votre domaine d’études ou professionnel.Est-ce par choix?,4,Je préfère ne pas répondre,,,,,,
Q26,Q26: Vous avez indiqué occuper un emploi qui ne correspond pas à votre domaine d’études ou professionnel.Est-ce par choix?,8,Je ne sais pas,,,,,,
Q27,Q27: Pensez-vous que le niveau de formation requis pour votre emploi actuel...,1,... correspond à votre niveau de scolarité,,,,,,
Q27,Q27: Pensez-vous que le niveau de formation requis pour votre emploi actuel...,2,... est inférieur à votre niveau de scolarité,,,,,,
Q27,Q27: Pensez-vous que le niveau de formation requis pour votre emploi actuel...,3,... est supérieur à votre niveau de scolarité,,,,,,
Q27,Q27: Pensez-vous que le niveau de formation requis pour votre emploi actuel...,8,Je ne sais pas,,,,,,
Q27,Q27: Pensez-vous que le niveau de formation requis pour votre emploi actuel...,9,Je préfère ne pas répondre,,,,,,
PROP,PROP: Êtes-vous (ou un membre de votre ménage) PROPRIETAIRE ou LOCATAIRE de votre résidence principale actuelle?,1,Propriétaire,,,,,,
PROP,PROP: Êtes-vous (ou un membre de votre ménage) PROPRIETAIRE ou LOCATAIRE de votre résidence principale actuelle?,2,Locataire (même si aucun loyer en argent n’est versé),,,,,,
PROP,PROP: Êtes-vous (ou un membre de votre ménage) PROPRIETAIRE ou LOCATAIRE de votre résidence principale actuelle?,8,Je ne sais pas,,,,,,
PROP,PROP: Êtes-vous (ou un membre de votre ménage) PROPRIETAIRE ou LOCATAIRE de votre résidence principale actuelle?,9,Je préfère ne pas répondre,,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,1,Habitation à loyer modique (HLM),,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,2,Coopérative d’habitation,,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,3,Organisme à but non lucratif d’habitation,,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,4,Logement locatif privé,,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,5,Maison,,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,6,Condo,,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,96,Autre (PRÉCISER),,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,98,Je ne sais pas,,,,,,
Q28,Q28: Dans quel type de logement vivez-vous?,99,Je préfère ne pas répondre,,,,,,
Q29,Q29: Recevez-vous une aide gouvernementale pour avoir un loyer réduit?,1,Oui,,,,,,
Q29,Q29: Recevez-vous une aide gouvernementale pour avoir un loyer réduit?,2,Non,,,,,,
Q29,Q29: Recevez-vous une aide gouvernementale pour avoir un loyer réduit?,8,Je ne sais pas,,,,,,
Q29,Q29: Recevez-vous une aide gouvernementale pour avoir un loyer réduit?,9,Je préfère ne pas répondre,,,,,,
Q30,Q30: Êtes-vous inscrit sur une liste d’attente pour un logement?,1,"Oui, en Organisme à but non lucratif (OBNL)",,,,,,
Q30,Q30: Êtes-vous inscrit sur une liste d’attente pour un logement?,2,"Oui, en coopérative",,,,,,
Q30,Q30: Êtes-vous inscrit sur une liste d’attente pour un logement?,3,"Oui, en Habitation à loyer modique (HLM)",,,,,,
Q30,Q30: Êtes-vous inscrit sur une liste d’attente pour un logement?,4,Non,,,,,,
Q30,Q30: Êtes-vous inscrit sur une liste d’attente pour un logement?,98,Je ne sais pas,,,,,,
Q30,Q30: Êtes-vous inscrit sur une liste d’attente pour un logement?,99,Je préfère ne pas répondre,,,,,,
Q31r1,Q31r1: Combien est-ce que vous ou votre famille payez au total par mois pour votre hypothèque ou votre loyer?,,,,,,,,
Q31_r0,noanswerQ31_r0: Combien est-ce que vous ou votre famille payez au total par mois pour votre hypothèque ou votre loyer?: Aucun - No Answer,0,NO TO: Combien est-ce que vous ou votre famille payez au total par mois pour votre hypothèque ou votre loyer?: Aucun,,,,,,
Q31_r0,noanswerQ31_r0: Combien est-ce que vous ou votre famille payez au total par mois pour votre hypothèque ou votre loyer?: Aucun - No Answer,1,Combien est-ce que vous ou votre famille payez au total par mois pour votre hypothèque ou votre loyer?: Aucun,,,,,,
Q32,"Q32: Au cours des 12 derniers mois, y a-t-il eu des travaux d´entretien ou des réparations mineurs ou majeurs réalisés dans votre logement, que vous soyez propriétaire ou locataire du logement ? (ex. : réparation de trous dans le mur, peinture, remplacement de luminaires, infiltration d´eau, problèmes électriques, chauffage etc.)?",1,Oui,,,,,,
Q32,"Q32: Au cours des 12 derniers mois, y a-t-il eu des travaux d´entretien ou des réparations mineurs ou majeurs réalisés dans votre logement, que vous soyez propriétaire ou locataire du logement ? (ex. : réparation de trous dans le mur, peinture, remplacement de luminaires, infiltration d´eau, problèmes électriques, chauffage etc.)?",2,Non,,,,,,
Q32,"Q32: Au cours des 12 derniers mois, y a-t-il eu des travaux d´entretien ou des réparations mineurs ou majeurs réalisés dans votre logement, que vous soyez propriétaire ou locataire du logement ? (ex. : réparation de trous dans le mur, peinture, remplacement de luminaires, infiltration d´eau, problèmes électriques, chauffage etc.)?",8,Je ne sais pas,,,,,,
Q32,"Q32: Au cours des 12 derniers mois, y a-t-il eu des travaux d´entretien ou des réparations mineurs ou majeurs réalisés dans votre logement, que vous soyez propriétaire ou locataire du logement ? (ex. : réparation de trous dans le mur, peinture, remplacement de luminaires, infiltration d´eau, problèmes électriques, chauffage etc.)?",9,Je préfère ne pas répondre,,,,,,
Q33r1,"Q33r1: Des infiltrations d´eau dans votre logement? - Au cours des 12 derniers mois, avez-vous constaté...",0,NO TO: Des infiltrations d´eau dans votre logement?,,,,,,
Q33r1,"Q33r1: Des infiltrations d´eau dans votre logement? - Au cours des 12 derniers mois, avez-vous constaté...",1,Des infiltrations d´eau dans votre logement?,,,,,,
Q33r2,"Q33r2: Des cernes dû à des infiltrations d´eau, de la peinture qui décolle, du plâtre qui s´écaille sur les murs de votre logement, dont au moins une des zones couvre une superficie égale ou supérieure à une feuille 8.5x11 (feuille de papier de taille normale) ? - Au cours des 12 derniers mois, avez-vous constaté...",0,"NO TO: Des cernes dû à des infiltrations d´eau, de la peinture qui décolle, du plâtre qui s´écaille sur les murs de votre logement, dont au moins une des zones couvre une superficie égale ou supérieure à une feuille 8.5x11 (feuille de papier de taille normale) ? ",,,,,,
Q33r2,"Q33r2: Des cernes dû à des infiltrations d´eau, de la peinture qui décolle, du plâtre qui s´écaille sur les murs de votre logement, dont au moins une des zones couvre une superficie égale ou supérieure à une feuille 8.5x11 (feuille de papier de taille normale) ? - Au cours des 12 derniers mois, avez-vous constaté…",1,"Des cernes dû à des infiltrations d´eau, de la peinture qui décolle, du plâtre qui s´écaille sur les murs de votre logement, dont au moins une des zones couvre une superficie égale ou supérieure à une feuille 8.5x11 (feuille de papier de taille normale) ? ",,,,,,
Q33r3,"Q33r3: Des odeurs de moisi ou de terre dans votre logement? - Au cours des 12 derniers mois, avez-vous constaté...",0,NO TO: Des odeurs de moisi ou de terre dans votre logement?,,,,,,
Q33r3,"Q33r3: Des odeurs de moisi ou de terre dans votre logement? - Au cours des 12 derniers mois, avez-vous constaté...",1,Des odeurs de moisi ou de terre dans votre logement?,,,,,,
Q33r4,"Q33r4: Des taches de moisissures dans votre logement, dont au moins une des zones couvre une superficie égale ou supérieure à une feuille 8.5x11 (feuille de papier de taille normale)? - Au cours des 12 derniers mois, avez-vous constaté...",0,"NO TO: Des taches de moisissures dans votre logement, dont au moins une des zones couvre une superficie égale ou supérieure à une feuille 8.5x11 (feuille de papier de taille normale)? ",,,,,,
Q33r4,"Q33r4: Des taches de moisissures dans votre logement, dont au moins une des zones couvre une superficie égale ou supérieure à une feuille 8.5x11 (feuille de papier de taille normale)? - Au cours des 12 derniers mois, avez-vous constaté...",1,"Des taches de moisissures dans votre logement, dont au moins une des zones couvre une superficie égale ou supérieure à une feuille 8.5x11 (feuille de papier de taille normale)? ",,,,,,
Q33r5,"Q33r5: La présence de punaises de lit, blattes (ou coquerelles) vivantes ou mortes dans votre logement? - Au cours des 12 derniers mois, avez-vous constaté...",0,"NO TO: La présence de punaises de lit, blattes (ou coquerelles) vivantes ou mortes dans votre logement?",,,,,,
Q33r5,"Q33r5: La présence de punaises de lit, blattes (ou coquerelles) vivantes ou mortes dans votre logement? - Au cours des 12 derniers mois, avez-vous constaté...",1,"La présence de punaises de lit, blattes (ou coquerelles) vivantes ou mortes dans votre logement?",,,,,,
Q33r6,"Q33r6: La présence de souris ou rats ou de leurs excréments dans votre logement? - Au cours des 12 derniers mois, avez-vous constaté...",0,NO TO: La présence de souris ou rats ou de leurs excréments dans votre logement?,,,,,,
Q33r6,"Q33r6: La présence de souris ou rats ou de leurs excréments dans votre logement? - Au cours des 12 derniers mois, avez-vous constaté...",1,La présence de souris ou rats ou de leurs excréments dans votre logement?,,,,,,
Q33r97,"Q33r97: Je n’ai constaté aucun de ces problèmes au cours des 12 derniers mois - Au cours des 12 derniers mois, avez-vous constaté...",0,NO TO: Je n’ai constaté aucun de ces problèmes au cours des 12 derniers mois,,,,,,
Q33r97,"Q33r97: Je n’ai constaté aucun de ces problèmes au cours des 12 derniers mois - Au cours des 12 derniers mois, avez-vous constaté...",1,Je n’ai constaté aucun de ces problèmes au cours des 12 derniers mois,,,,,,
Q34r1,Q34r1: Combien de chambres à coucher (pièces fermées) compte votre logement?,,,,,,,,
Q34_r0,noanswerQ34_r0: Combien de chambres à coucher (pièces fermées) compte votre logement?: Aucune - No Answer,0,NO TO: Combien de chambres à coucher (pièces fermées) compte votre logement?: Aucune,,,,,,
Q34_r0,noanswerQ34_r0: Combien de chambres à coucher (pièces fermées) compte votre logement?: Aucune - No Answer,1,Combien de chambres à coucher (pièces fermées) compte votre logement?: Aucune,,,,,,
Q35r1,"Q35r1: Une station de métro - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",1,Moins de 5 minutes à pieds,,,,,,
Q35r1,"Q35r1: Une station de métro - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",2,Entre 5 et 10 minutes à pieds,,,,,,
Q35r1,"Q35r1: Une station de métro - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",3,Entre 10 et 20 minutes à pieds,,,,,,
Q35r1,"Q35r1: Une station de métro - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",4,Plus de 20 minutes à pieds,,,,,,
Q35r1,"Q35r1: Une station de métro - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",8,Je ne sais pas,,,,,,
Q35r2,"Q35r2: Un arrêt d’autobus ou de train - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",1,Moins de 5 minutes à pieds,,,,,,
Q35r2,"Q35r2: Un arrêt d’autobus ou de train - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",2,Entre 5 et 10 minutes à pieds,,,,,,
Q35r2,"Q35r2: Un arrêt d’autobus ou de train - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",3,Entre 10 et 20 minutes à pieds,,,,,,
Q35r2,"Q35r2: Un arrêt d’autobus ou de train - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",4,Plus de 20 minutes à pieds,,,,,,
Q35r2,"Q35r2: Un arrêt d’autobus ou de train - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",8,Je ne sais pas,,,,,,
Q35r3,"Q35r3: Une installation sportive (piscine municipale, aréna, terrain de sport) - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",1,Moins de 5 minutes à pieds,,,,,,
Q35r3,"Q35r3: Une installation sportive (piscine municipale, aréna, terrain de sport) - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",2,Entre 5 et 10 minutes à pieds,,,,,,
Q35r3,"Q35r3: Une installation sportive (piscine municipale, aréna, terrain de sport) - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",3,Entre 10 et 20 minutes à pieds,,,,,,
Q35r3,"Q35r3: Une installation sportive (piscine municipale, aréna, terrain de sport) - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",4,Plus de 20 minutes à pieds,,,,,,
Q35r3,"Q35r3: Une installation sportive (piscine municipale, aréna, terrain de sport) - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",8,Je ne sais pas,,,,,,
Q35r4,"Q35r4: Une maison de la culture ou bibliothèque publique - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",1,Moins de 5 minutes à pieds,,,,,,
Q35r4,"Q35r4: Une maison de la culture ou bibliothèque publique - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",2,Entre 5 et 10 minutes à pieds,,,,,,
Q35r4,"Q35r4: Une maison de la culture ou bibliothèque publique - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",3,Entre 10 et 20 minutes à pieds,,,,,,
Q35r4,"Q35r4: Une maison de la culture ou bibliothèque publique - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",4,Plus de 20 minutes à pieds,,,,,,
Q35r4,"Q35r4: Une maison de la culture ou bibliothèque publique - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",8,Je ne sais pas,,,,,,
Q35r5,"Q35r5: Un Bureau d’arrondissement ou un Bureau Accès Montréal - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",1,Moins de 5 minutes à pieds,,,,,,
Q35r5,"Q35r5: Un Bureau d’arrondissement ou un Bureau Accès Montréal - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",2,Entre 5 et 10 minutes à pieds,,,,,,
Q35r5,"Q35r5: Un Bureau d’arrondissement ou un Bureau Accès Montréal - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",3,Entre 10 et 20 minutes à pieds,,,,,,
Q35r5,"Q35r5: Un Bureau d’arrondissement ou un Bureau Accès Montréal - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",4,Plus de 20 minutes à pieds,,,,,,
Q35r5,"Q35r5: Un Bureau d’arrondissement ou un Bureau Accès Montréal - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",8,Je ne sais pas,,,,,,
Q35r6,"Q35r6: Un parc public - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",1,Moins de 5 minutes à pieds,,,,,,
Q35r6,"Q35r6: Un parc public - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",2,Entre 5 et 10 minutes à pieds,,,,,,
Q35r6,"Q35r6: Un parc public - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",3,Entre 10 et 20 minutes à pieds,,,,,,
Q35r6,"Q35r6: Un parc public - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",4,Plus de 20 minutes à pieds,,,,,,
Q35r6,"Q35r6: Un parc public - Comment évaluez-vous, par rapport à l’emplacement de votre logement ou maison, la proximité à distance de marche des services suivants?",8,Je ne sais pas,,,,,,
Q36r1,Q36r1: Internet - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Internet,,,,,,
Q36r1,Q36r1: Internet - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Internet,,,,,,
Q36r2,Q36r2: Journaux papier - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,0,NO TO: Journaux papier,,,,,,
Q36r2,Q36r2: Journaux papier - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?,1,Journaux papier,,,,,,
Q36r3,"Q36r3: Parent, ami, collègues - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?",0,"NO TO: Parent, ami, collègues",,,,,,
Q36r3,"Q36r3: Parent, ami, collègues - Où avez-vous obtenu de l'information sur les logements lorsque vous cherchiez un endroit où habiter?",1,"Parent, ami, collègues",,,,,,
